Label:,WxT_11.25,WxT_11.26,WxT_11.27,WxT_11.28,WxT_11.29,WxT_11.30,WxT_11.31,WxT_11.32,WxT_11.33,WxT_11.34,WxT_11.35,WxT_11.36,WxT_11.37,WxT_11.38,WxT_11.39,WxT_11.40,WxT_11.41,WxT_11.42,WxT_11.43,WxT_11.44,WxT_11.45,WxT_11.46,WxT_11.47,WxT_11.48,WxT_12.25,WxT_12.26,WxT_12.27,WxT_12.28,WxT_12.29,WxT_12.30,WxT_12.31,WxT_12.32,WxT_12.33,WxT_12.34,WxT_12.35,WxT_12.36,WxT_12.37,WxT_12.38,WxT_12.39,WxT_12.40,WxT_12.41,WxT_12.42,WxT_12.43,WxT_12.44,WxT_12.45,WxT_12.46,WxT_12.47,WxT_12.48,WxT_13.25,WxT_13.26,WxT_13.27,WxT_13.28,WxT_13.29,WxT_13.30,WxT_13.31,WxT_13.32,WxT_13.33,WxT_13.34,WxT_13.35,WxT_13.36,WxT_13.37,WxT_13.38,WxT_13.39,WxT_13.40,WxT_13.41,WxT_13.42,WxT_13.43,WxT_13.44,WxT_13.45,WxT_13.46,WxT_13.47,WxT_13.48,WxT_14.25,WxT_14.26,WxT_14.27,WxT_14.28,WxT_14.29,WxT_14.30,WxT_14.31,WxT_14.32,WxT_14.33,WxT_14.34,WxT_14.35,WxT_14.36,WxT_14.37,WxT_14.38,WxT_14.39,WxT_14.40,WxT_14.41,WxT_14.42,WxT_14.43,WxT_14.44,WxT_14.45,WxT_14.46,WxT_14.47,WxT_14.48
0.292222222,603,,2691,,1406,,5930,,2278,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.294166667,,,,,,,,,,,,,4386,,7600,,1600,,1981,,2067,,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.296111111,,,,,,,,,,,,,,,,,,,,,,,,,702,,2107,,1237,,978,,9754,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.298055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5523,,766,,1043,,4166,,2322,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2837,,1181,,1450,,3619,,3587,,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.301944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,,2226,,1122,,1248,,590,,2669,,,,,,,,,,,,,,,,,,,,,,,,,
0.303888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,1462,,910,,595,,1744,,1165,,,,,,,,,,,,,
0.305833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,1104,,830,,718,,1048,,373,
0.308055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,,2094,,2658,,650,,1266,,1562
0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362,,2027,,907,,4022,,1451,,1517,,,,,,,,,,,,
