Trait,Cat
PC1_gc_SDLD,Shape
PC2_gc_SDLD,Shape
PC3_gc_SDLD,Shape
PC1_gc_SDSD,Shape
PC2_gc_SDSD,Shape
PC3_gc_SDSD,Shape
PC1_gc_LDLD,Shape
PC2_gc_LDLD,Shape
PC3_gc_LDLD,Shape
PC1_gc_SDLD_vel,Shape
PC2_gc_SDLD_vel,Shape
PC3_gc_SDLD_vel,Shape
PC1_gc_SDSD_vel,Shape
PC2_gc_SDSD_vel,Shape
PC3_gc_SDSD_vel,Shape
PC1_gc_LDLD_vel,Shape
PC2_gc_LDLD_vel,Shape
PC3_gc_LDLD_vel,Shape
PC1_gc_SDLD_acc,Shape
PC2_gc_SDLD_acc,Shape
PC3_gc_SDLD_acc,Shape
PC1_gc_SDSD_acc,Shape
PC2_gc_SDSD_acc,Shape
PC3_gc_SDSD_acc,Shape
PC1_gc_LDLD_acc,Shape
PC2_gc_LDLD_acc,Shape
PC3_gc_LDLD_acc,Shape
PC1_mean_dist_SDLD_ori,Spread_of_Shape
PC2_mean_dist_SDLD_ori,Spread_of_Shape
PC3_mean_dist_SDLD_ori,Spread_of_Shape
PC1_mean_dist_SDSD_ori,Spread_of_Shape
PC2_mean_dist_SDSD_ori,Spread_of_Shape
PC3_mean_dist_SDSD_ori,Spread_of_Shape
PC1_mean_dist_LDLD_ori,Spread_of_Shape
PC2_mean_dist_LDLD_ori,Spread_of_Shape
PC3_mean_dist_LDLD_ori,Spread_of_Shape
PC1_mean_dist_SDLD_vel,Spread_of_Shape
PC2_mean_dist_SDLD_vel,Spread_of_Shape
PC3_mean_dist_SDLD_vel,Spread_of_Shape
PC1_mean_dist_SDSD_vel,Spread_of_Shape
PC2_mean_dist_SDSD_vel,Spread_of_Shape
PC3_mean_dist_SDSD_vel,Spread_of_Shape
PC1_mean_dist_LDLD_vel,Spread_of_Shape
PC2_mean_dist_LDLD_vel,Spread_of_Shape
PC3_mean_dist_LDLD_vel,Spread_of_Shape
PC1_mean_dist_SDLD_acc,Spread_of_Shape
PC2_mean_dist_SDLD_acc,Spread_of_Shape
PC3_mean_dist_SDLD_acc,Spread_of_Shape
PC1_mean_dist_SDSD_acc,Spread_of_Shape
PC2_mean_dist_SDSD_acc,Spread_of_Shape
PC3_mean_dist_SDSD_acc,Spread_of_Shape
PC1_mean_dist_LDLD_acc,Spread_of_Shape
PC2_mean_dist_LDLD_acc,Spread_of_Shape
PC3_mean_dist_LDLD_acc,Spread_of_Shape
mean_total_euclid_SDLD_ori,Spread_of_Shape
mean_total_euclid_SDSD_ori,Spread_of_Shape
mean_total_euclid_LDLD_ori,Spread_of_Shape
mean_total_euclid_SDLD_vel,Spread_of_Shape
mean_total_euclid_SDSD_vel,Spread_of_Shape
mean_total_euclid_LDLD_vel,Spread_of_Shape
mean_total_euclid_SDLD_acc,Spread_of_Shape
mean_total_euclid_SDSD_acc,Spread_of_Shape
mean_total_euclid_LDLD_acc,Spread_of_Shape
PC1_se_dist_SDLD_ori,Spread_of_Shape
PC2_se_dist_SDLD_ori,Spread_of_Shape
PC3_se_dist_SDLD_ori,Spread_of_Shape
PC1_se_dist_SDSD_ori,Spread_of_Shape
PC2_se_dist_SDSD_ori,Spread_of_Shape
PC3_se_dist_SDSD_ori,Spread_of_Shape
PC1_se_dist_LDLD_ori,Spread_of_Shape
PC2_se_dist_LDLD_ori,Spread_of_Shape
PC3_se_dist_LDLD_ori,Spread_of_Shape
PC1_se_dist_SDLD_vel,Spread_of_Shape
PC2_se_dist_SDLD_vel,Spread_of_Shape
PC3_se_dist_SDLD_vel,Spread_of_Shape
PC1_se_dist_SDSD_vel,Spread_of_Shape
PC2_se_dist_SDSD_vel,Spread_of_Shape
PC3_se_dist_SDSD_vel,Spread_of_Shape
PC1_se_dist_LDLD_vel,Spread_of_Shape
PC2_se_dist_LDLD_vel,Spread_of_Shape
PC3_se_dist_LDLD_vel,Spread_of_Shape
PC1_se_dist_SDLD_acc,Spread_of_Shape
PC2_se_dist_SDLD_acc,Spread_of_Shape
PC3_se_dist_SDLD_acc,Spread_of_Shape
PC1_se_dist_SDSD_acc,Spread_of_Shape
PC2_se_dist_SDSD_acc,Spread_of_Shape
PC3_se_dist_SDSD_acc,Spread_of_Shape
PC1_se_dist_LDLD_acc,Spread_of_Shape
PC2_se_dist_LDLD_acc,Spread_of_Shape
PC3_se_dist_LDLD_acc,Spread_of_Shape
se_total_euclid_SDLD_ori,Spread_of_Shape
se_total_euclid_SDSD_ori,Spread_of_Shape
se_total_euclid_LDLD_ori,Spread_of_Shape
se_total_euclid_SDLD_vel,Spread_of_Shape
se_total_euclid_SDSD_vel,Spread_of_Shape
se_total_euclid_LDLD_vel,Spread_of_Shape
se_total_euclid_SDLD_acc,Spread_of_Shape
se_total_euclid_SDSD_acc,Spread_of_Shape
se_total_euclid_LDLD_acc,Spread_of_Shape
PC1_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
PC2_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
PC3_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
PC1_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
PC2_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
PC3_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
PC1_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
PC2_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
PC3_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
PC1_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
PC2_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
PC3_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
PC1_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
PC2_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
PC3_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
PC1_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
PC2_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
PC3_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
removed_outlier_only_SDLD,Shape
removed_fnt1_only_SDLD,Shape
removed_fnt1_only_SDSD,Shape
removed_fnt1_only_LDLD,Shape
varmx_PC1_gc_SDLD,Shape
varmx_PC2_gc_SDLD,Shape
varmx_PC3_gc_SDLD,Shape
varmx_PC1_gc_SDSD,Shape
varmx_PC2_gc_SDSD,Shape
varmx_PC3_gc_SDSD,Shape
varmx_PC1_gc_LDLD,Shape
varmx_PC2_gc_LDLD,Shape
varmx_PC3_gc_LDLD,Shape
varmx_PC1_gc_SDLD_vel,Shape
varmx_PC2_gc_SDLD_vel,Shape
varmx_PC3_gc_SDLD_vel,Shape
varmx_PC1_gc_SDSD_vel,Shape
varmx_PC2_gc_SDSD_vel,Shape
varmx_PC3_gc_SDSD_vel,Shape
varmx_PC1_gc_LDLD_vel,Shape
varmx_PC2_gc_LDLD_vel,Shape
varmx_PC3_gc_LDLD_vel,Shape
varmx_PC1_gc_SDLD_acc,Shape
varmx_PC2_gc_SDLD_acc,Shape
varmx_PC3_gc_SDLD_acc,Shape
varmx_PC1_gc_SDSD_acc,Shape
