"","PC1_gc_SDLD","PC2_gc_SDLD","PC3_gc_SDLD","PC1_gc_SDSD","PC2_gc_SDSD","PC3_gc_SDSD","PC1_gc_LDLD","PC2_gc_LDLD","PC3_gc_LDLD","PC1_gc_SDLD_vel","PC2_gc_SDLD_vel","PC3_gc_SDLD_vel","PC1_gc_SDSD_vel","PC2_gc_SDSD_vel","PC3_gc_SDSD_vel","PC1_gc_LDLD_vel","PC2_gc_LDLD_vel","PC3_gc_LDLD_vel","PC1_gc_SDLD_acc","PC2_gc_SDLD_acc","PC3_gc_SDLD_acc","PC1_gc_SDSD_acc","PC2_gc_SDSD_acc","PC3_gc_SDSD_acc","PC1_gc_LDLD_acc","PC2_gc_LDLD_acc","PC3_gc_LDLD_acc","PC1_mean_dist_SDLD_ori","PC2_mean_dist_SDLD_ori","PC3_mean_dist_SDLD_ori","PC1_mean_dist_SDSD_ori","PC2_mean_dist_SDSD_ori","PC3_mean_dist_SDSD_ori","PC1_mean_dist_LDLD_ori","PC2_mean_dist_LDLD_ori","PC3_mean_dist_LDLD_ori","PC1_mean_dist_SDLD_vel","PC2_mean_dist_SDLD_vel","PC3_mean_dist_SDLD_vel","PC1_mean_dist_SDSD_vel","PC2_mean_dist_SDSD_vel","PC3_mean_dist_SDSD_vel","PC1_mean_dist_LDLD_vel","PC2_mean_dist_LDLD_vel","PC3_mean_dist_LDLD_vel","PC1_mean_dist_SDLD_acc","PC2_mean_dist_SDLD_acc","PC3_mean_dist_SDLD_acc","PC1_mean_dist_SDSD_acc","PC2_mean_dist_SDSD_acc","PC3_mean_dist_SDSD_acc","PC1_mean_dist_LDLD_acc","PC2_mean_dist_LDLD_acc","PC3_mean_dist_LDLD_acc","mean_total_euclid_SDLD_ori","mean_total_euclid_SDSD_ori","mean_total_euclid_LDLD_ori","mean_total_euclid_SDLD_vel","mean_total_euclid_SDSD_vel","mean_total_euclid_LDLD_vel","mean_total_euclid_SDLD_acc","mean_total_euclid_SDSD_acc","mean_total_euclid_LDLD_acc","PC1_se_dist_SDLD_ori","PC2_se_dist_SDLD_ori","PC3_se_dist_SDLD_ori","PC1_se_dist_SDSD_ori","PC2_se_dist_SDSD_ori","PC3_se_dist_SDSD_ori","PC1_se_dist_LDLD_ori","PC2_se_dist_LDLD_ori","PC3_se_dist_LDLD_ori","PC1_se_dist_SDLD_vel","PC2_se_dist_SDLD_vel","PC3_se_dist_SDLD_vel","PC1_se_dist_SDSD_vel","PC2_se_dist_SDSD_vel","PC3_se_dist_SDSD_vel","PC1_se_dist_LDLD_vel","PC2_se_dist_LDLD_vel","PC3_se_dist_LDLD_vel","PC1_se_dist_SDLD_acc","PC2_se_dist_SDLD_acc","PC3_se_dist_SDLD_acc","PC1_se_dist_SDSD_acc","PC2_se_dist_SDSD_acc","PC3_se_dist_SDSD_acc","PC1_se_dist_LDLD_acc","PC2_se_dist_LDLD_acc","PC3_se_dist_LDLD_acc","se_total_euclid_SDLD_ori","se_total_euclid_SDSD_ori","se_total_euclid_LDLD_ori","se_total_euclid_SDLD_vel","se_total_euclid_SDSD_vel","se_total_euclid_LDLD_vel","se_total_euclid_SDLD_acc","se_total_euclid_SDSD_acc","se_total_euclid_LDLD_acc","PC1_diff_SDLD_SDSD_ori_spread","PC2_diff_SDLD_SDSD_ori_spread","PC3_diff_SDLD_SDSD_ori_spread","PC1_diff_SDLD_LDLD_ori_spread","PC2_diff_SDLD_LDLD_ori_spread","PC3_diff_SDLD_LDLD_ori_spread","PC1_diff_SDLD_SDSD_vel_spread","PC2_diff_SDLD_SDSD_vel_spread","PC3_diff_SDLD_SDSD_vel_spread","PC1_diff_SDLD_LDLD_vel_spread","PC2_diff_SDLD_LDLD_vel_spread","PC3_diff_SDLD_LDLD_vel_spread","PC1_diff_SDLD_SDSD_acc_spread","PC2_diff_SDLD_SDSD_acc_spread","PC3_diff_SDLD_SDSD_acc_spread","PC1_diff_SDLD_LDLD_acc_spread","PC2_diff_SDLD_LDLD_acc_spread","PC3_diff_SDLD_LDLD_acc_spread","removed_outlier_only_SDLD","removed_outlier_only_SDSD","removed_outlier_only_LDLD","removed_fnt1_only_SDLD","removed_fnt1_only_SDSD","removed_fnt1_only_LDLD","removed_total_SDLD","removed_total_SDSD","removed_total_LDLD"
"WxT_1.",4.70940939787057,0.0240561541236433,-0.432825455418099,4.47195099788627,-0.422794975843491,-0.473637762798739,4.61946635502822,0.387648696699985,1.26024777951791,0.462425892083211,-0.158486462910293,0.0443185192877657,0.449757152287565,-0.120910180275561,-0.0364913262250145,0.252412650095912,0.483916810872536,0.0405918433592612,-0.182206062107592,-0.0486811602547408,-0.0212510346306095,-0.175900482104117,0.0109007861695259,0.0564834665594093,0.0123663755511745,0.193571146680496,-0.0825715749086197,0.548899160603316,0.592092000052592,0.488535774873677,0.342439474181429,0.252826923337432,0.419895590202059,0.0376191675648601,0.0881719884849582,0.110049118146015,0.170347733557484,0.142841159748038,0.150531064081863,0.220637741416494,0.202701734743696,0.0959478962998195,0.0607813010970623,0.0448411905409517,0.0472946406854258,0.0642271594606244,0.0584232142088886,0.0397399197229367,0.0584727127401977,0.0990131213721486,0.0536621673394383,0.00353577685143279,0.0034775099179491,0.0613764103276958,1.04471562444532,0.655520641277548,0.145946256294501,0.302559467520938,0.335778007058349,0.0891172372201092,0.109576814369765,0.136472805642728,0.0615764446674721,0.0573992464589893,0.0543704323536474,0.0451505813510426,0.0775515326922934,0.0677337218752404,0.0837773752370015,0,0,0,0.0181147016488417,0.0147201015293244,0.0136899124994358,0.0428688705583736,0.0463556801603123,0.0229080851314669,2.77555756156289e-17,2.77555756156289e-17,4.9065389333868e-18,0.0072168724858362,0.00726855839296906,0.00457143450673368,0.0110571426636602,0.0241906501403032,0.00481410241120663,0,0,4.9065389333868e-18,0.0582184240811185,0.0979670893177405,0,0.0160495079983843,0.0546000209401226,9.81307786677359e-18,0.00743906017471255,0.021221241255213,4.9065389333868e-18,0.623865909732928,0.427006146536306,0.859498140766935,0.06853566240384,0.148916027369271,0.225263171718531,1.29521970623718,1.4190709113623,0.637395987898152,0.356807219137739,0.313923456096608,0.314185254544573,0.91040477628542,1.69475648871583,1.35033406492933,0.0550511167102208,0.0595227422016782,1.54445229773001,0,0,0,6,2,10,6,2,10
"WxT_10.",4.59537395585164,0.253672293475391,-0.221836361022903,4.955653749448,-0.314967591167985,-0.11971085256913,4.73824595859983,0.884802501130019,0.892011591215662,0.415554904844538,-0.106792035177278,0.0528605623111086,0.555142109835714,-0.084562971052685,0.0423509593116239,0.277556381277479,0.383769936579216,0.0184711216806717,-0.148084067209012,-0.054340618373081,-0.0365147389279745,-0.216142667231697,-0.0150082755243373,0.0467274762081479,-0.0324202834095986,0.190552375988192,-0.0262056075555659,0.629293749792097,0.828425272335557,0.475226839536102,0.644528250120228,0.455137287342172,0.370400264250949,0.355680711017636,0.455887102720449,0.34659158107085,0.170329994803024,0.120992603492791,0.130174135087927,0.235219943393193,0.114679980935385,0.088586221901755,0.091546183169318,0.0606373572818526,0.205832400899343,0.0668015698174651,0.0376415330511293,0.0352214071600434,0.0874285585973005,0.0739459404965289,0.0493440796829841,0.0432388498664183,0.0534561404740559,0.0114847524330632,1.31006702468244,0.920598701353949,0.795660452025505,0.27986159938755,0.297258202262073,0.250990658386017,0.0931848731188665,0.133480366883799,0.0770888680657112,0.0866930159853687,0.129692694486624,0.0648045669299593,0.142880324213113,0.130129142429601,0.0836038106632258,0.158337896928493,0.0982039503619942,0.121647409087495,0.0180555762831951,0.0172120094169969,0.0166230592939799,0.0329547384001122,0.0279040761270678,0.0249850717277142,0.042254246473939,0.0140479162642152,0.0328646970317306,0.0064424032004548,0.00688089199718507,0.00547133019940385,0.0152188990598944,0.0131215917996927,0.011935165358766,0.0179648406895131,0.0172274665495832,0.002035632643603,0.110499166186412,0.178336298586074,0.0697208329718868,0.0137679162522154,0.0277420312711169,0.0303301576144757,0.00749967700717261,0.0148961138522945,0.0187817908548012,1.02420888548975,0.549400534412737,0.779417813632999,0.565206171418584,0.55030564366437,0.729318195515175,1.38096606921881,0.947826376363725,0.680520917937489,0.537463664430832,0.501165819491317,1.58120813140269,1.30878000077241,1.96447738714804,1.40096843543951,0.647272960569163,1.42013717670439,0.326073072006389,0,0,0,22,4,7,22,4,7
"WxT_11.",4.89787880394867,0.139650246183314,-0.101182746467065,5.25902322231104,-0.369000151342273,0.375412573561884,4.83933467252669,0.992817565165037,1.18550191395644,0.521665096723628,-0.0615248540378711,0.112534716407857,0.563413431993707,0.107051582318038,0.0396566293566727,0.201495986049886,0.332418587072216,-0.0794254683216209,-0.200629514105841,-0.0206941389357925,-0.0303220502151153,-0.199283939470213,0.0827919805428702,0.0476484330450411,0.00732396096243082,0.0777645989049262,0.00327777857660731,0.820276851912316,0.584386566223062,0.651966958756824,0.569053811371037,0.480296536094877,0.238055854399484,0.435599602433212,0.766792963643436,0.46748766243516,0.115561776447259,0.156920001901291,0.0922865816551504,0.0985598597782134,0.103399255466905,0.0841188541845146,0.0544858741046164,0.0980867411236179,0.092251368367781,0.0400039420291949,0.0583625771752656,0.0256009457976657,0.0387873457274743,0.0513605819985156,0.0345390778316775,0.0249983691372577,0.0405836137164406,0.0294218521645479,1.30739220267115,0.836713024593445,1.1005171810578,0.242017890557467,0.189330076376817,0.155980858156995,0.0845541790379262,0.0833009891451494,0.0656789918064026,0.0790339387436204,0.0643417648335257,0.0633740584363292,0.131277711371498,0.113774615470768,0.0623051219744873,0.141173675244185,0.205855177344074,0.0931428158825255,0.0151960643746689,0.0153027660198092,0.0103617040795458,0.0174864316975118,0.0279545604108289,0.0204390420294965,0.0141392655078334,0.0191896399680639,0.0175377728522529,0.00571241174209872,0.00568428723445755,0.00281004174395383,0.00490804864704887,0.0134200132401401,0.00483384371345744,0.00810731396807232,0.0111184111842916,0.00824753784845575,0.0831060608759453,0.16117568745431,0.167352822096263,0.0153940126525692,0.0272870511798565,0.0151570383297128,0.00561424964060663,0.00904197201931768,0.00470555033769336,0.693733841256642,0.821881548713676,0.365134844951975,0.531039735447485,1.31213311181891,0.717041954590106,0.852875949195842,0.658929736261076,0.911496044992149,0.471486989726947,0.625074814779305,0.999618435456836,0.969588089572955,0.880025942724863,1.34913288378693,0.6248976443125,0.695370487059988,1.14924864093226,0,0,0,11,0,6,11,0,6
"WxT_12.",4.68709495773396,-0.0903789603367937,-0.265634000974803,4.67138635377628,-0.344937639028477,-0.163256393962352,4.31521747220918,-0.0542450930577086,0.92293914045122,0.49891232714738,-0.0948515112155425,0.076308532098599,0.563481699756604,-0.0253599355534431,0.0474508018080271,0.282963298725174,0.400569484124819,-0.173109088244542,-0.181425053219557,-0.0366070943304499,-0.0383452488983564,-0.183571369250807,0.0108699426766065,0.0556352185459518,-0.00407810660240296,0.185244221719669,-0.0221152575139398,0.531888115937697,0.668516782055104,0.388263363868816,0.395200918204005,0.537312834635969,0.370548466225851,0.315304103027895,0.613812953786736,0.38960421066903,0.098044746618944,0.100937820411537,0.101282227640422,0.117286089515484,0.0994730379015215,0.100706883570254,0.0680192820972922,0.0963506273972498,0.103149614718662,0.0378295849769836,0.0460419252632197,0.0280678727897071,0.0499331520902255,0.0686905441758121,0.034788498833598,0.0331406071052261,0.0504674517828549,0.030689774263202,1.08459994298347,0.877824244198568,0.897072899034639,0.193377995164973,0.217581138337615,0.17728611440508,0.0758231160171029,0.104171768145966,0.0719961664874907,0.101926124362706,0.0798378236440254,0.0433471513622904,0.0636873210662411,0.142229118975505,0.137489641874849,0.0871565602439003,0.122247569107797,0.0931763031704598,0.0142862628220242,0.0113545251964622,0.0107512893231474,0.0255283478476799,0.0370961445481593,0.0252779645998958,0.01248228263696,0.0215153152230999,0.0209555304494974,0.00600994001505434,0.0052271819331279,0.00470685085833062,0.00713027368374203,0.0209846846534549,0.00995994552267501,0.00533193533323555,0.0119894846595822,0.0092926411153096,0.0983803191990641,0.140146530598116,0.116387392186407,0.0150438530280742,0.0311961626830952,0.0192303069310218,0.00654658447888392,0.0169314034056186,0.0141031285223195,0.743015131118849,0.803738737843203,0.954374016990822,0.592801556530411,0.918171346274656,1.00345344661637,1.19625062596492,0.985488268876391,0.994319397553045,0.693757538704779,0.954554269196774,1.01843746056682,1.31994977266089,1.49191294202211,1.2394419446833,0.876049978486139,1.09611949314315,1.09341290282805,0,0,0,14,3,1,14,3,1
"WxT_13.",4.37035005171288,0.124062166715146,-0.0397013655562217,4.69947942618776,-0.215800771335469,0.578842648091544,4.01666790334362,0.324077262090331,0.636225084824445,0.44822122928585,0.0172809515679337,0.0487502912994971,0.443523810773841,0.178637869318643,0.0513225562578807,0.0803754684293976,0.141980166460235,-0.0549429654644283,-0.142887702429664,0.0174824703703795,-0.0434038418369342,-0.134157462201519,0.103234797374323,0.0294646474089732,0.0173488784748208,0.0566517987672053,-0.00588317792858865,0.482138106236721,0.979599206503293,0.498264077659538,0.499800245967065,0.256123253865782,0.353632637742363,0.762388542095971,0.561554822182909,0.561493657087727,0.12747122392952,0.129111966324209,0.106982718039585,0.103387926781557,0.0801206515295677,0.075809677263751,0.171708044547184,0.17734632586153,0.10676565434723,0.0476015053096398,0.0516528415350016,0.0287046541386834,0.0418294668268534,0.0280105046049139,0.0253229028896679,0.0248299019849331,0.058565415475255,0.0170765482925137,1.35145420334593,0.792819729700892,1.23417464395025,0.240634345862497,0.173299132918096,0.289467603214015,0.0871592297308763,0.0694854681138794,0.0671223768437458,0.063117472824005,0.0973070775941764,0.0619200354757969,0.151245376672231,0.116477039305608,0.0659141573196489,0.368359648563021,0.143712122992148,0.158712651426624,0.0156461007428542,0.0164917620967217,0.0109487164307374,0.0373340542008408,0.0122822226591627,0.0131939501289351,0.0484228764792812,0.0651787405769874,0.0309388841981219,0.00574104725962222,0.00759739597653466,0.00428307725847573,0.0108832751385424,0.00806784840447297,0.0104950583740927,0.00723403785223633,0.0147949845782853,0.00500960743987998,0.0790913503261644,0.117958534609262,0.16082848633035,0.0158042345350386,0.0263337217760771,0.0426807859981328,0.0075157229298694,0.00758839844062759,0.0145819242359391,1.03663294707859,0.2614571879657,0.709729345537927,1.5812658909015,0.573249568246788,1.12689973502644,0.811068754142673,0.620551710353318,0.7086161078437,1.34703377949931,1.37358550807136,0.997971039656377,0.878742522001348,0.542283904863842,0.882188051015109,0.521620100528728,1.1338275636892,0.594905209796649,0,0,0,12,4,9,12,4,9
"WxT_14.",4.87623386488613,0.0722544611409978,0.164012239237446,4.81090965925734,-0.204027021471331,0.449160039896435,4.49060658068311,0.460867639801857,1.05628868506187,0.502856004643181,0.0718697983590954,0.0811534808910225,0.482396045161111,0.17321839421966,-0.0839679909441377,0.166273944390951,0.324261017655775,-0.0436241461839096,-0.158063924265995,0.0489596912494285,-0.0292889345636902,-0.151849485617505,0.102210048696934,0.0471138181679034,0.0206275995380568,0.101155672039261,-0.0317147567411289,0.601430276884014,0.660664244890595,0.403984459808902,0.510949162679199,0.535996034067369,0.333308254073986,0.446150682370706,1.04258356114377,0.56956862323591,0.147760757646716,0.0599636117347105,0.0934341818040041,0.107188258959748,0.0663484020112164,0.151219771990213,0.107398197984537,0.160127725610231,0.10683731631026,0.0533805524793596,0.0371934930431956,0.0240831647986792,0.0448142850242213,0.0241051862754758,0.0250190967295413,0.0342608344390366,0.0540883940772725,0.0332142373703113,1.12296806106944,0.922729556166018,1.36766245722879,0.214421563434785,0.215779084750028,0.247957877014228,0.0767026943862886,0.0674502622647608,0.0829476582012842,0.0753211481770091,0.0913538667205783,0.0611358693769892,0.115406912367707,0.120936567357415,0.0499284666943448,0.141207158511307,0.215142037979003,0.124352265365789,0.0191768591580252,0.0148799001085207,0.0134346371494998,0.0231535513741353,0.0109159125729377,0.023707557851669,0.0329564504528539,0.0459098273673876,0.0180433529453537,0.00634089215116669,0.00629022570575236,0.00314451768611082,0.0108221085169,0.00532863841637276,0.00619909920701726,0.0101045860715031,0.0182911638432274,0.00513807437696292,0.0839900010779839,0.106017903732784,0.211038940605831,0.0186437417008547,0.0209073269733989,0.0409567403286935,0.00717153710712462,0.00710781246382539,0.0149461639243155,0.849556768785247,0.811298686454766,0.825052167183986,0.741816133172069,1.57808382882355,1.40987755693706,0.725417632305505,1.10647774695016,1.618463062131,0.726838435962254,2.67041495630157,1.14345001205631,0.839524563586137,0.648102243246704,1.03886249746185,0.641822402499189,1.4542434617382,1.37914753513346,0,0,0,19,1,4,19,1,4
"WxT_15.",4.95851313642218,0.22140558871866,0.0909321037414996,4.59436171436437,-0.646692788949339,-0.0646444668346107,3.41800362297045,1.10291400250219,1.16575531677997,0.510007209807118,0.0452243825742136,0.101815259521624,0.519981815264016,0.0220706615004109,-0.102888926442488,0.0952562369872088,0.414307593070042,0.0242752458341388,-0.16599212941486,0.031237743646261,-0.0323580004054965,-0.172302679607868,0.0406477149609638,0.0471637911654591,0.0559486579144516,0.15746380495419,-0.00020431138350279,0.603146504855739,0.711571979543847,0.466029109844259,0.661705034451957,0.700898992798212,0.310014256796988,0.571420818282385,0.932568093111945,0.126489029063441,0.11127854740211,0.115930465341215,0.0850188559932553,0.172339840656805,0.071639973223165,0.0776286996909358,0.104531355364711,0.0976780134025187,0.0410767054207557,0.0509293750605736,0.0505601924632355,0.0238988544839337,0.0701687482723743,0.0277605583191378,0.02239853282039,0.0119515101456095,0.0386848526204189,0.00667043682311482,1.16885455578119,1.12961310278571,1.13452970549942,0.210508904568607,0.214060851618322,0.152420634065562,0.0858545944509541,0.0831328178863961,0.0426389520328897,0.0673564153716605,0.0794643976410341,0.0693651063801891,0.18748329863517,0.168945664688687,0.0771306803754804,0.212645580241355,0.233782914502151,0.0567864259623854,0.014285067392264,0.0185576527798543,0.0103484258654419,0.0307356001087384,0.0261398837014457,0.0191337441349343,0.0278418896153908,0.0306777779265334,0.0105100252392023,0.00625030010505744,0.00832171741234418,0.00286075597164396,0.0121353622362898,0.00753945603586871,0.00569625366921353,0.00327611560343584,0.0160545072308112,0.0033289674751908,0.0877150219907276,0.195681553190423,0.256165381965962,0.0182685357553758,0.0370642004667193,0.0358926148999324,0.00832864017730998,0.0121315315055944,0.0145755829148697,1.09708840078618,0.9850008332924,0.665225090554089,0.94739970087211,1.31057450253981,0.271418729842246,1.54872475135794,0.617956401816461,0.913076267423479,0.939366641685057,0.842556899215628,0.483148178611276,1.3777657430298,0.549059585548923,0.937222026078601,0.234668305499426,0.765124710483417,0.279111152695586,0,0,0,12,3,9,12,3,9
"WxT_16.",4.77783336517777,0.0242711413783312,-0.317325836380021,4.57424845685841,-0.103859491177797,0.179397141368816,4.4248029503538,0.630085853108616,0.912232610851601,0.529044598600364,-0.0482705348068385,0.0572808592590477,0.568450152221167,0.144755338828857,-0.13241298143008,0.235332802205605,0.337744469858839,-0.126618040298649,-0.183258712318841,0.00406837864862241,-0.0253782074567307,-0.175698269178417,0.102492721988175,0.0781052641221719,-0.0106215509011967,0.153671092838029,-0.00132494312240537,0.430190750178893,0.704869111620564,0.431453355244615,0.560800980613085,0.358378558770146,0.261542899417366,0.665856054063013,1.02092167988257,0.3091803752457,0.0883769860162427,0.102898568888808,0.0786056949301287,0.0920367462981449,0.0842213417691616,0.100887057028806,0.110150915902241,0.136214371224516,0.104438644769581,0.0381817839336261,0.0390725244226995,0.0307218377440069,0.043157505451896,0.0595330860753184,0.0330836174806161,0.0482035096581572,0.065107016460011,0.0293750889077894,1.06716218291281,0.93161179991308,1.37121295712262,0.17870953829473,0.186217873273171,0.222136149708059,0.0715891948861547,0.0890183888088621,0.0908662244745704,0.0581522846469784,0.0791083041323093,0.0502537375369893,0.156355536479785,0.179204912475726,0.0715338856914908,0.183813146284037,0.19639870129203,0.069198684013377,0.00929402266634536,0.0132254236265859,0.0109818384578662,0.0267846895581084,0.0159611879834443,0.0256966464548615,0.0345933832694627,0.0174938793584882,0.0237071725841809,0.00373499725417754,0.00511548125425863,0.00418556237008668,0.0118545631574586,0.00732501106241624,0.00863896802403458,0.0088802200094749,0.0165773839205665,0.00872841953825141,0.0722648572589584,0.130798262461996,0.199436185196058,0.0138990226596709,0.0227075787812237,0.0331071835486008,0.00519166838937298,0.00953648651149613,0.0180539234495712,1.30361003898824,0.508432775478271,0.606190440375838,1.54781583236302,1.44838476115852,0.716602088006496,1.04141078403861,0.818488951582705,1.28345735151229,1.24637556526307,1.32377323315068,1.32863967251247,1.13031663284564,1.52365599497155,1.07687625187949,1.26247400440882,1.6663120036899,0.956163142080254,0,0,0,8,3,3,8,3,3
"WxT_17.",4.80252713120311,0.171773374188792,0.0159925447133543,4.49749540408347,-0.0742579108124482,-0.0529987229338883,4.29554680584908,0.00443884992222429,0.793340347890122,0.518109166808619,-0.0174573211481216,0.0982371758527388,0.486195507478927,0.0516523566087559,-0.00101161491594277,0.375395834130535,0.341590705116735,0.00317624747183528,-0.185961122315099,-0.0128839036505849,-0.0320804716886739,-0.161028562198236,0.0697517086914774,0.0357508498645369,-0.0646355264588928,0.178237206565602,-0.0113523761376297,0.631628633065463,0.642689732301553,0.537204967890107,0.341419282233984,0.731236980489622,0.599892328239681,0.584437517082263,0.604476786247261,0.416592330166193,0.114291811928177,0.123004496834169,0.10081651857599,0.140770235293778,0.21688237009153,0.120690957122797,0.0823222550382222,0.154275357352502,0.104820973649527,0.0465979634871039,0.0504740679333591,0.0253835528354048,0.0442128167890432,0.104306378604314,0.0299758384781851,0.0548430618116703,0.0743077847358666,0.045534337528373,1.16309958646298,1.12341105699896,1.04154544901281,0.21776385387773,0.322977696199186,0.227785000691005,0.0824985748628432,0.124673498051361,0.121683940139287,0.0753210417163856,0.0647293446949106,0.0592392013874758,0.0934061684992488,0.180358497987798,0.126204803440876,0.0997816492606658,0.190151602351206,0.125458866173479,0.0119810205317078,0.0134633244859856,0.0104696708369782,0.0313922164705861,0.0451857001385436,0.0329823121950302,0.0218999575696743,0.0480092926555352,0.0313839575258077,0.00424299421883955,0.00689621746358474,0.00409248088787288,0.00882732979880498,0.0227792626356258,0.00598611242198594,0.0206689787500651,0.020373562960238,0.0128373424343378,0.0797915417687171,0.171181198054098,0.190565977990121,0.0135141054664127,0.0396392083077133,0.0497931903481975,0.00649881052648586,0.0207726167447827,0.0219445089825787,0.540538006608385,1.13777604299196,1.11669169887944,0.925286610655745,0.940542155672152,0.775481157224543,1.23167384363668,1.76320683937209,1.1971347436663,0.72028130142827,1.25422534397658,1.03972022769779,0.948814357547604,2.06653402182741,1.18091579506455,1.17694117312333,1.47219726442448,1.79385201999234,0,0,0,11,2,3,11,2,3
"WxT_18.",4.92691172029942,0.123990386697013,0.0639668301326877,5.39276388207215,-0.355686971994439,0.638475791302722,4.62317592569834,0.415054880659847,1.70928266388054,0.578250381865734,0.0512466151729332,0.111967067326817,0.591504418560507,0.232656249277314,-0.0490852153047195,0.208756680255474,0.456204446569071,0.0419475683089571,-0.203168838344985,0.0504125404139726,-0.0368547757375499,-0.186086415268128,0.13121887266231,0.0322763763192834,0.0105802716648203,0.172988388117058,0.00212061494368822,0.390481206684778,0.497788441296373,0.454380066968002,0.477920406161444,0.325871092644759,0.280660362211049,0.606114887291605,0.28570097546716,0.338547723348061,0.0837901643651051,0.098472678892327,0.10249922256053,0.0684271872795799,0.064965809862151,0.139527724822636,0.0378689490429977,0.0390766329755299,0.0757954428793942,0.0374209239320431,0.0430905701703119,0.0287332090684866,0.0281102830842774,0.0332712306047261,0.0372417555650186,0.0149297028524028,0.026227938085838,0.0129657435657246,0.88733071596436,0.715468988289534,0.770773696426456,0.191156029232381,0.187783190116718,0.100839472019097,0.0738796181133804,0.0667777457154744,0.0359485281199769,0.0660430157199239,0.0617587629056673,0.049848636371979,0.0999553470741179,0.0821922162778662,0.0756377767437817,0.16900834238872,0.0492287094504288,0.117117530178875,0.0117686323432831,0.0135512472284047,0.0114098958905774,0.0131251886031107,0.0132045999649577,0.0285794479432194,0.011045020090716,0.014971922513338,0.0295779852377839,0.00529453112165946,0.00626264638283212,0.00361369209076748,0.00520464624257468,0.00986751455129152,0.00695639320367603,0.00209436975365783,0.00611601126326764,0.00483792339356046,0.0630148586515988,0.11231709590288,0.196490092061834,0.0103563132199627,0.0217772007434819,0.0304710725341267,0.00541921993650299,0.007438546626187,0.00474556638794608,1.22392678054607,0.654637724805551,0.617677540486857,1.55222550257303,0.573940557404505,0.74507608929047,0.81664939791044,0.659734360768093,1.36125642065469,0.451949812128169,0.396827154649235,0.739473344147889,0.751191582958401,0.772123238871621,1.29612238842698,0.398966708558969,0.608670017179495,0.451245927136795,0,0,0,20,1,6,20,1,6
