"","sd_PC1_SDLDpre","sd_PC1_SDLDpost","sd_PC1_SDSDpre","sd_PC1_SDSDpost","sd_PC2_SDLDpre","sd_PC2_SDLDpost","sd_PC2_SDSDpre","sd_PC2_SDSDpost","sd_PC1_SDLDpre_vel","sd_PC1_SDLDpost_vel","sd_PC1_SDSDpre_vel","sd_PC1_SDSDpost_vel","sd_PC2_SDLDpre_vel","sd_PC2_SDLDpost_vel","sd_PC2_SDSDpre_vel","sd_PC2_SDSDpost_vel","sd_PC1_SDLDpre_acc","sd_PC1_SDLDpost_acc","sd_PC1_SDSDpre_acc","sd_PC1_SDSDpost_acc","sd_PC2_SDLDpre_acc","sd_PC2_SDLDpost_acc","sd_PC2_SDSDpre_acc","sd_PC2_SDSDpost_acc","PC1_movement_ori_sd_SDLD"," PC2_movement_ori_sd_SDLD"," PC1_movement_ori_sd_SDSD","PC2_movement_ori_sd_SDSD ","PC1_movement_vel_sd_SDLD","PC2_movement_vel_sd_SDLD ","PC1_movement_vel_sd_SDSD ","PC2_movement_vel_sd_SDSD","PC1_movement_acc_sd_SDLD ","PC2_movement_acc_sd_SDLD ","PC1_movement_acc_sd_SDSD","PC2_movement_acc_sd_SDSD","PC1_movement_ori_sd_absSDLD","PC2_movement_ori_sd_absSDLD","PC1_movement_ori_sd_absSDSD","PC2_movement_ori_sd_absSDSD","PC1_movement_vel_sd_absSDLD","PC2_movement_vel_sd_absSDLD","PC1_movement_vel_sd_absSDSD","PC2_movement_vel_sd_absSDSD","PC1_movement_acc_sd_absSDLD","PC2_movement_acc_sd_absSDLD","PC1_movement_acc_sd_absSDSD","PC2_movement_acc_sd_absSDSD","distances_ori_sdSDLD","distances_vel_sdSDLD","distances_acc_sdSDLD","distances_ori_sdSDSD","distances_vel_sdSDSD","distances_acc_sdSDSD"
"WxT_1.",0.324733714207714,0.223299316028028,0.356169336819102,0.248398236921229,-0.0494544741208044,0.00903292215585092,-0.0356679491975282,-0.0398629081255224,-0.0201626867263329,-0.00903208976223997,-0.0223464278922336,-0.0212703078915339,0.00134715583865726,0.00376255814763141,0.0182800722745707,0.00937954335094189,0.00746808675607447,0.00490499731740323,0.01600256255505,0.0139563600015136,-0.00180244206181913,0.000318486005551315,-0.00757797416643842,0.0014109746956503,0.101434398179686,-0.0584873962766553,0.107771099897872,0.00419495892799421,-0.011130596964093,-0.00241540230897415,-0.00107612000069969,0.00890052892362882,0.00256308943867124,-0.00212092806737045,0.00204620255353636,-0.00898894886208872,0.101434398179686,0.0584873962766553,0.107771099897872,0.00419495892799421,0.011130596964093,0.00241540230897415,0.00107612000069969,0.00890052892362882,0.00256308943867124,0.00212092806737045,0.00204620255353636,0.00898894886208872,0.117088482171807,0.0113896600955109,0.00332682481317965,0.107852712778143,0.0089653471419828,0.00921890159050116
"WxT_10.",0.289543084101153,0.201171240526934,0.249310567486914,0.280777591947365,-0.057378633785119,0.0142744903939362,-0.0079903292111614,-0.0417822806022628,-0.0235189616518107,-0.00601776925107896,-0.0237227687766022,-0.0233748063933783,-0.0136929885480623,0.0062062527202123,0.00539609232554322,-0.000672837885435166,0.00158082222841232,0.00340916482042355,0.0144530560225088,0.00708492190423111,0.00594362749278129,-9.21146839376681e-05,0.00370827259969542,0.00529024603928992,0.0883718435742186,-0.0716531241790551,-0.0314670244604511,0.0337919513911014,-0.0175011924007317,-0.0198992412682746,-0.00034796238322389,0.00606893021097839,-0.00182834259201124,0.00603574217671895,0.00736813411827771,-0.0015819734395945,0.0883718435742186,0.0716531241790551,0.0314670244604511,0.0337919513911014,0.0175011924007317,0.0198992412682746,0.00034796238322389,0.00606893021097839,0.00182834259201124,0.00603574217671895,0.00736813411827771,0.0015819734395945,0.113770615456388,0.0265004063836847,0.00630658546739727,0.0461743392720805,0.00607889724587157,0.00753604938601854
"WxT_11.",0.265417484638755,0.193003640654253,0.202404522304708,0.177086294212108,-0.0333539431429026,-0.00408284389424444,0.00761086270740072,-0.00708567835116273,-0.0141863676774365,-0.00888457795362207,-0.00691173767894612,-0.00988497225494856,0.0120252434884082,0.00184675208672326,0.00170362909174116,0.00988407643929992,0.00425667116804061,0.00378620582707656,0.00260503305535448,0.00692904034149421,-0.00611051271776799,-0.00116389070447197,-0.0013671788748565,-0.00112650158978582,0.0724138439845018,-0.0292710992486582,0.0253182280926006,0.0146965410585635,-0.00530178972381443,0.0101784914016849,0.00297323457600244,-0.00818044734755876,0.00047046534096405,-0.00494662201329602,-0.00432400728613973,-0.000240677285070682,0.0724138439845018,0.0292710992486582,0.0253182280926006,0.0146965410585635,0.00530178972381443,0.0101784914016849,0.00297323457600244,0.00818044734755876,0.00047046534096405,0.00494662201329602,0.00432400728613973,0.000240677285070682,0.0781060948443626,0.0114765265428926,0.00496894425199892,0.0292745792939026,0.00870401301987293,0.00433070023970009
"WxT_12.",0.251012450403145,0.193895736745542,0.238158620829419,0.216700980586301,-0.0470552450297073,0.00808031097137647,-0.0142508242079597,-0.0248599372862429,-0.0209314255779839,-0.00499713892918206,-0.0213062462007234,-0.0139926796676445,0.000336440828281832,-0.00170811018746203,-0.0013331254947565,-0.000179658165694209,0.00394308917408238,0.00113038626331986,0.00604804543446999,0.00396524048710412,0.000517621005863828,0.000651014793278497,0.00344422390415982,0.00149554042896461,0.057116713657603,-0.0551355560010838,0.0214576402431178,0.0106091130782832,-0.0159342866488018,0.00204455101574386,-0.00731356653307887,-0.00115346732906229,0.00281270291076253,-0.000133393787414669,0.00208280494736587,0.00194868347519521,0.057116713657603,0.0551355560010838,0.0214576402431178,0.0106091130782832,0.0159342866488018,0.00204455101574386,0.00731356653307887,0.00115346732906229,0.00281270291076253,0.000133393787414669,0.00208280494736587,0.00194868347519521,0.0793867023788825,0.0160649207860532,0.00281586426639013,0.0239370759515624,0.00740396801134266,0.00285226992679
"WxT_13.",0.275599750513979,0.200636109264854,0.243835586321158,0.192705454059689,-0.0332948464800286,0.0100628637700244,0.0114957977194961,-0.00319626998610794,-0.0151194650288898,-0.00686450048178155,-0.0113554946151499,-0.00835050915185827,0.00144523779573623,0.00489181462799372,0.00562318546908399,0.0166293999580621,0.00163986203171828,0.00158645670257292,0.00919625573150618,0.00664334510458985,-0.00198389480647102,-0.00189518762585402,0.00351610178362966,-0.00104667939210088,0.0749636412491251,-0.043357710250053,0.0511301322614693,0.014692067705604,-0.00825496454710822,-0.00344657683225749,-0.00300498546329162,-0.0110062144889781,5.34053291453599e-05,-8.87071806169996e-05,0.00255291062691633,0.00456278117573054,0.0749636412491251,0.043357710250053,0.0511301322614693,0.014692067705604,0.00825496454710822,0.00344657683225749,0.00300498546329162,0.0110062144889781,5.34053291453599e-05,8.87071806169996e-05,0.00255291062691633,0.00456278117573054,0.0865992987699963,0.00894557608735556,0.000103542711352085,0.0531991285505825,0.0114090619689782,0.00522841512569758
"WxT_14.",0.254170558076682,0.210463149110319,0.225865586174094,0.214901079119863,-0.0160565310965415,0.0142639423326015,-0.0031335141242262,0.0114139794587634,-0.0157720085580484,-0.00673550761669966,-0.0182457361387553,-0.0116634890673218,-0.00461531444536421,0.000441288519597702,-0.00319630729511104,0.00287166018444568,0.00387183150868327,0.00302238240384494,0.00754588336143319,0.00653370240933445,0.00577007655653608,0.000778857248765719,0.00604477330779909,0.00356505520186035,0.0437074089663626,-0.030320473429143,0.0109645070542318,-0.0145474935829896,-0.0090365009413487,-0.00505660296496191,-0.00658224707143354,-0.00606796747955672,0.000849449104838326,0.00499121930777036,0.00101218095209874,0.00247971810593873,0.0437074089663626,0.030320473429143,0.0109645070542318,0.0145474935829896,0.0090365009413487,0.00505660296496191,0.00658224707143354,0.00606796747955672,0.000849449104838326,0.00499121930777036,0.00101218095209874,0.00247971810593873,0.0531946304387975,0.0103550752198261,0.00506298666401268,0.0182167501077833,0.00895244133420339,0.00267834130848029
"WxT_15.",0.258912130795744,0.203409386320293,0.237588719525136,0.215900813411733,-0.0213634094651834,0.0166573634671554,-0.0400019799746914,0.00979899856431075,-0.0147346956002549,-0.00481965025552172,-0.0264330839449469,-0.0123872335855152,-0.00129980158953444,0.0035868437004539,-0.00783824589712832,-0.000432479072087588,-0.00068768108680913,0.00142305644844724,0.00837910636166443,0.00608360502650203,0.000916223976992226,-0.000647862228984469,0.00729248089502872,0.000868545353540124,0.0555027444754507,-0.0380207729323388,0.0216879061134026,-0.0498009785390021,-0.00991504534473319,-0.00488664528998835,-0.0140458503594317,-0.00740576682504073,-0.00211073753525637,0.0015640862059767,0.0022955013351624,0.00642393554148859,0.0555027444754507,0.0380207729323388,0.0216879061134026,0.0498009785390021,0.00991504534473319,0.00488664528998835,0.0140458503594317,0.00740576682504073,0.00211073753525637,0.0015640862059767,0.0022955013351624,0.00642393554148859,0.067276547315388,0.011053842154576,0.00262708557197262,0.0543185303098852,0.0158786427186464,0.0068217500849073
"WxT_16.",0.224734500108292,0.195206309620258,0.213646560535584,0.226460282114188,-0.0187106284755365,0.0109653323087233,-0.0182476472331137,-0.000514774713283345,-0.0142540733600187,-0.00146208926626505,-0.0213383455911686,-0.0177540834522106,0.00878559729683521,-0.00199136026134452,-0.00504693157871418,5.22828804495732e-05,0.00555679346729512,-0.00114783675519153,0.00524621163173341,0.0081066050396409,-0.00297831410780208,0.000374509254711935,0.00561304311193062,0.00601006943479216,0.0295281904880339,-0.0296759607842597,-0.0128137215786041,-0.0177328725198304,-0.0127919840937537,0.0107769575581797,-0.003584262138958,-0.00509921445916375,0.00670463022248666,-0.00335282336251402,-0.00286039340790749,-0.00039702632286154,0.0295281904880339,0.0296759607842597,0.0128137215786041,0.0177328725198304,0.0127919840937537,0.0107769575581797,0.003584262138958,0.00509921445916375,0.00670463022248666,0.00335282336251402,0.00286039340790749,0.00039702632286154,0.0418637872386928,0.0167265558698034,0.00749623178140199,0.0218779850191589,0.00623289043552929,0.00288781584403257
"WxT_17.",0.257976426226449,0.193104537251842,0.274204142648841,0.29280186722864,-0.0257944438174949,0.01199921440546,-0.0304356867769499,0.00371509400808993,-0.0211273116417961,-0.00759378862324176,-0.0260286456954822,-0.0173196305125762,0.00112348328996599,-0.00205295482376143,0.0154690867023797,0.0146270065353768,0.00397309646583296,0.00389096655510947,0.0100389795594616,0.0156262669773916,0.000243569712276804,0.00238346368151033,-0.00704371145262188,-0.00232976329360745,0.0648718889746061,-0.0377936582229549,-0.0185977245797987,-0.0341507807850398,-0.0135335230185543,0.00317643811372742,-0.00870901518290601,0.000842080167002856,8.21299107234951e-05,-0.00213989396923353,-0.00558728741792991,-0.00471394815901443,0.0648718889746061,0.0377936582229549,0.0185977245797987,0.0341507807850398,0.0135335230185543,0.00317643811372742,0.00870901518290601,0.000842080167002856,8.21299107234951e-05,0.00213989396923353,0.00558728741792991,0.00471394815901443,0.0750781098657068,0.0139012950613991,0.00214146947720426,0.0388863882068507,0.00874963110443789,0.0073102043703602
"WxT_18.",0.226072387521473,0.18808515322232,0.156273790274268,0.183963438718585,-0.0140381869582056,0.00552411134101575,-0.0122078549829113,0.00932880928210738,-0.012264939415952,-0.00964922026017151,-0.0137203674472604,-0.0149763704754122,0.00767071237007403,0.00370645075182112,-0.00175713088107598,0.000405912727921771,0.00385939206311068,0.00379112114974136,0.00373158036168249,0.00825638455636378,-0.0020655871403083,-0.00114520649091213,0.00256083164968573,0.00341799795844039,0.0379872342991532,-0.0195622982992214,-0.0276896484443165,-0.0215366642650187,-0.00261571915578047,0.00396426161825291,0.00125600302815179,-0.00216304360899775,6.82709133693138e-05,-0.000920380649396169,-0.00452480419468129,-0.000857166308754662,0.0379872342991532,0.0195622982992214,0.0276896484443165,0.0215366642650187,0.00261571915578047,0.00396426161825291,0.00125600302815179,0.00216304360899775,6.82709133693138e-05,0.000920380649396169,0.00452480419468129,0.000857166308754662,0.0427283686143817,0.00474945858807823,0.000922909235729708,0.035079118270475,0.00250125993474339,0.00460527817629614
