"","varmx_sd_PC1_LDLDpre","varmx_sd_PC1_LDLDpost","varmx_sd_PC2_LDLDpre","varmx_sd_PC2_LDLDpost","varmx_sd_PC1_LDLDpre_vel","varmx_sd_PC1_LDLDpost_vel","varmx_sd_PC2_LDLDpre_vel","varmx_sd_PC2_LDLDpost_vel","varmx_sd_PC1_LDLDpre_acc","varmx_sd_PC1_LDLDpost_acc","varmx_sd_PC2_LDLDpre_acc","varmx_sd_PC2_LDLDpost_acc","varmx_PC1_movement_acc_sd_LDLD","varmx_PC2_movement_acc_sd_LDLD","varmx_PC1_movement_ori_sd_LDLD","varmx_PC2_movement_ori_sd_LDLD","varmx_PC1_movement_vel_sd_LDLD","varmx_PC2_movement_vel_sd_LDLD","varmx_PC1_movement_ori_sd_absLDLD","varmx_PC2_movement_ori_sd_absLDLD","varmx_PC1_movement_vel_sd_absLDLD","varmx_PC2_movement_vel_sd_absLDLD","varmx_PC1_movement_acc_sd_absLDLD","varmx_PC2_movement_acc_sd_absLDLD","varmx_distances_ori_sdLDLD","varmx_distances_vel_sdLDLD","varmx_distances_acc_sdLDLD"
"WxT_1.",0.0692658130213804,0.161110525288064,-0.0347792978331201,-0.0229651711968486,-0.00270737768257583,-0.00765636265798475,0.0357569337063859,0.0192295607301585,-0.00397856235926907,-0.00021557205992786,-0.00845460512994508,-0.00482386099862152,-0.00376299029934121,-0.00363074413132356,-0.0918447122666841,-0.0118141266362715,0.00494898497540892,0.0165273729762274,0.0918447122666841,0.0118141266362715,0.00494898497540892,0.0165273729762274,0.00376299029934121,0.00363074413132356,0.0926014295760484,0.0172524348943027,0.00522899597820427
"WxT_10.",0.158292654971298,0.209894197212631,-0.194900623248838,-0.0834277086021007,-0.0214774028303257,-0.00439457769891676,-0.0040501342010267,0.0072498265928295,0.0044794269566207,9.1893623066645e-05,-0.00470003384249825,-0.00226199306100097,0.00438753333355406,-0.00243804078149727,-0.0516015422413333,-0.111472914646738,-0.017082825131409,-0.0112999607938562,0.0516015422413333,0.111472914646738,0.017082825131409,0.0112999607938562,0.00438753333355406,0.00243804078149727,0.12283700526113,0.0204819927842235,0.0050194114799737
"WxT_11.",0.148710913784129,0.215153961583192,-0.0692767708485654,-0.0486702241039681,0.00535240458974876,0.00234412940789475,0.0197812523745293,0.00122131351344045,-0.00813164093851573,0.000320617663848155,0.00461272665022517,0.00316557548627262,-0.00845225860236389,0.00144715116395256,-0.0664430477990631,-0.0206065467445973,0.00300827518185401,0.0185599388610888,0.0664430477990631,0.0206065467445973,0.00300827518185401,0.0185599388610888,0.00845225860236389,0.00144715116395256,0.069565137601861,0.0188021554641247,0.00857525054867574
"WxT_12.",0.199901871465902,0.227467565751258,-0.0875581135770347,-0.0838671390343114,-0.00490937466772477,-0.00523080740621367,0.0171620121586696,0.00701791891897393,-0.00486409982390176,0.00851945091753273,-0.00567451276162152,-0.000467053902402604,-0.0133835507414345,-0.00520745885921891,-0.0275656942853565,-0.00369097454272331,0.000321432738488894,0.0101440932396957,0.0275656942853565,0.00369097454272331,0.000321432738488894,0.0101440932396957,0.0133835507414345,0.00520745885921891,0.0278117024741163,0.0101491845318238,0.0143609560342969
"WxT_13.",0.193994056619129,0.191106934691622,-0.13579002842555,-0.0887753323275628,-0.0175511115200758,0.0176192428322214,0.0327686700144278,-0.000251873293563303,-0.00183209030072037,0.000553900649990976,-0.019269322509559,0.000654797751141713,-0.00238599095071135,-0.0199241202607007,0.00288712192750668,-0.0470146960979873,-0.0351703543522972,0.0330205433079911,0.00288712192750668,0.0470146960979873,0.0351703543522972,0.0330205433079911,0.00238599095071135,0.0199241202607007,0.0471032602078709,0.0482422025370014,0.0200664775429007
"WxT_14.",0.205245251174843,0.180862635392904,-0.0977579526357467,-0.0683549347438683,-0.00888426919047298,-0.00678307374813283,0.034022282928618,0.00796885167128924,-0.00416448478109962,0.00380305050692922,-0.00799806098328081,-0.0067153228059326,-0.00796753528802884,-0.0012827381773482,0.024382615781939,-0.0294030178918784,-0.00210119544234015,0.0260534312573288,0.024382615781939,0.0294030178918784,0.00210119544234015,0.0260534312573288,0.00796753528802884,0.0012827381773482,0.0381975053311049,0.0261380240754206,0.00807013232838294
"WxT_15.",0.196286998292378,0.140708335175193,-0.0510263658703029,-0.052168001634025,-0.0177129430331094,0.00876196462846424,0.00993968848185324,0.0244546471892199,-0.000869608330410682,-0.00381991779333045,-0.00802598733360098,-0.00489962934599569,0.00295030946291977,-0.00312635798760529,0.0555786631171847,0.00114163576372211,-0.0264749076615736,-0.0145149587073666,0.0555786631171847,0.00114163576372211,0.0264749076615736,0.0145149587073666,0.00295030946291977,0.00312635798760529,0.0555903869937107,0.0301927932123778,0.0042986556263159
"WxT_16.",0.20649186042015,0.244887242236567,-0.129897230991799,-0.094595621422551,-0.0171018749537594,-0.00483959638116564,-0.00202388697342603,-0.0032883918699723,0.00393366100991109,0.00684227655665886,-0.00852821758058144,-0.00144765140948658,-0.00290861554674777,-0.00708056617109486,-0.0383953818164168,-0.035301609569248,-0.0122622785725938,0.00126450489654627,0.0383953818164168,0.035301609569248,0.0122622785725938,0.00126450489654627,0.00290861554674777,0.00708056617109486,0.0521575400398452,0.0123273049944131,0.00765470193423857
"WxT_17.",0.237667701148536,0.182886924585859,-0.111858703050012,-0.0896242646449317,-0.0161982059462662,0.000214920866953654,0.0119148725501359,0.0163457613731678,-0.000527438601102462,0.000906675575587297,-0.00446732541905755,0.00103924103788766,-0.00143411417668976,-0.00550656645694521,0.0547807765626764,-0.0222344384050806,-0.0164131268132199,-0.00443088882303183,0.0547807765626764,0.0222344384050806,0.0164131268132199,0.00443088882303183,0.00143411417668976,0.00550656645694521,0.0591210937990765,0.017000691384438,0.00569025110311809
"WxT_18.",0.0994294164465902,0.0864982268587227,-0.0470733861312791,-0.0559279950837641,0.00693327843345757,-0.0119490065940395,0.000178474123809057,0.0041770371425241,0.00051103521633677,0.00402790178368242,0.00605219245092921,-0.00402887501174012,-0.00351686656734565,0.0100810674626693,0.0129311895878676,0.00885460895248508,0.0188822850274971,-0.00399856301871505,0.0129311895878676,0.00885460895248508,0.0188822850274971,0.00399856301871505,0.00351686656734565,0.0100810674626693,0.0156722609683097,0.0193010153638164,0.010676903654122
