"","varmx_sd_PC1_SDLDpre","varmx_sd_PC1_SDLDpost","varmx_sd_PC1_SDSDpre","varmx_sd_PC1_SDSDpost","varmx_sd_PC2_SDLDpre","varmx_sd_PC2_SDLDpost","varmx_sd_PC2_SDSDpre","varmx_sd_PC2_SDSDpost","varmx_sd_PC1_SDLDpre_vel","varmx_sd_PC1_SDLDpost_vel","varmx_sd_PC1_SDSDpre_vel","varmx_sd_PC1_SDSDpost_vel","varmx_sd_PC2_SDLDpre_vel","varmx_sd_PC2_SDLDpost_vel","varmx_sd_PC2_SDSDpre_vel","varmx_sd_PC2_SDSDpost_vel","varmx_sd_PC1_SDLDpre_acc","varmx_sd_PC1_SDLDpost_acc","varmx_sd_PC1_SDSDpre_acc","varmx_sd_PC1_SDSDpost_acc","varmx_sd_PC2_SDLDpre_acc","varmx_sd_PC2_SDLDpost_acc","varmx_sd_PC2_SDSDpre_acc","varmx_sd_PC2_SDSDpost_acc","varmx_PC1_movement_ori_sd_SDLD","varmx_ PC2_movement_ori_sd_SDLD","varmx_ PC1_movement_ori_sd_SDSD","varmx_PC2_movement_ori_sd_SDSD ","varmx_PC1_movement_vel_sd_SDLD","varmx_PC2_movement_vel_sd_SDLD ","varmx_PC1_movement_vel_sd_SDSD ","varmx_PC2_movement_vel_sd_SDSD","varmx_PC1_movement_acc_sd_SDLD ","varmx_PC2_movement_acc_sd_SDLD ","varmx_PC1_movement_acc_sd_SDSD","varmx_PC2_movement_acc_sd_SDSD","varmx_PC1_movement_ori_sd_absSDLD","varmx_PC2_movement_ori_sd_absSDLD","varmx_PC1_movement_ori_sd_absSDSD","varmx_PC2_movement_ori_sd_absSDSD","varmx_PC1_movement_vel_sd_absSDLD","varmx_PC2_movement_vel_sd_absSDLD","varmx_PC1_movement_vel_sd_absSDSD","varmx_PC2_movement_vel_sd_absSDSD","varmx_PC1_movement_acc_sd_absSDLD","varmx_PC2_movement_acc_sd_absSDLD","varmx_PC1_movement_acc_sd_absSDSD","varmx_PC2_movement_acc_sd_absSDSD","varmx_distances_ori_sdSDLD","varmx_distances_vel_sdSDLD","varmx_distances_acc_sdSDLD","varmx_distances_ori_sdSDSD","varmx_distances_vel_sdSDSD","varmx_distances_acc_sdSDSD"
"WxT_1.",0.210588053001165,0.171958588930655,0.260133406623429,0.177262680172677,-0.199525144110549,-0.10073856888152,-0.205502124823068,-0.156745613500959,-0.0180156964049171,-0.0116316378841429,-0.0331241599678696,-0.0213952809385871,-0.00930194621503959,-0.00294057852899222,0.000626705373425842,-0.00167975792078903,0.0058892025866175,0.00473301111004132,0.0113175107110522,0.0128898091327851,-0.00582084543910207,-0.00107738585825571,-0.0148492069475094,-0.00671685054589954,0.0386294640705093,-0.0987865752290288,0.0828707264507523,-0.0487565113221089,-0.00638405852077421,-0.00636136768604737,-0.0117288790292825,0.00230646329421487,0.00115619147657618,-0.00474345958084636,-0.00157229842173288,-0.00813235640160987,0.0386294640705093,0.0987865752290288,0.0828707264507523,0.0487565113221089,0.00638405852077421,0.00636136768604737,0.0117288790292825,0.00230646329421487,0.00115619147657618,0.00474345958084636,0.00157229842173288,0.00813235640160987,0.106070839253092,0.00901239158235801,0.00488233422920129,0.0961496474188978,0.0119535089497228,0.00828295496606065
"WxT_10.",0.181521749758573,0.146307879722679,0.214872274918976,0.195790839796352,-0.189449914466919,-0.0838412136744285,-0.132499172302853,-0.173488227254115,-0.00951647656059663,-0.00672276265823211,-0.0242607243428113,-0.017496735984357,-0.0211514462738184,0.00345979564394075,-0.00852061444179972,-0.0109846541117672,0.00328887613389647,0.00326776215926698,0.0148448017648461,0.00839659653464123,0.00189701962092934,-0.000485700809933668,-0.00178221055671233,0.00083610432077566,0.0352138700358944,-0.10560870079249,0.0190814351226234,0.0409890549512628,-0.00279371390236452,-0.0246112419177592,-0.00676398835845432,0.00246403966996751,2.11139746294914e-05,0.00238272043086301,0.00644820523020489,-0.00261831487748799,0.0352138700358944,0.10560870079249,0.0190814351226234,0.0409890549512628,0.00279371390236452,0.0246112419177592,0.00676398835845432,0.00246403966996751,2.11139746294914e-05,0.00238272043086301,0.00644820523020489,0.00261831487748799,0.111324814511332,0.0247692968431228,0.00238281397754349,0.0452128719739912,0.00719882143190669,0.0069595203490267
"WxT_11.",0.170242093843385,0.139584975061938,0.146933785268439,0.134311647955981,-0.1562213362044,-0.0969322091378156,-0.0906227929682161,-0.0929143507124017,-0.0164475814732572,-0.00887285005066879,-0.00757682075393919,-0.0136320120194022,0.00443466425163507,-0.00324581580677883,-0.00270749086695371,0.00331035934897049,0.00153873452229336,0.0031150114192092,0.00165346979235267,0.00592481864670439,-0.00676406405010236,-0.00196789135664657,-0.00325159631747525,-0.00363144175861502,0.0306571187814464,-0.0592891270665849,0.012622137312458,0.00229155774418553,-0.00757473142258842,0.0076804800584139,0.006055191265463,-0.00601785021592421,-0.00157627689691584,-0.00479617269345579,-0.00427134885435173,0.000379845441139772,0.0306571187814464,0.0592891270665849,0.012622137312458,0.00229155774418553,0.00757473142258842,0.0076804800584139,0.006055191265463,0.00601785021592421,0.00157627689691584,0.00479617269345579,0.00427134885435173,0.000379845441139772,0.0667462322554416,0.0107873226544886,0.00504855636407098,0.0128284678441925,0.00853697033394391,0.00428820517171537
"WxT_12.",0.160418036651761,0.14407569512041,0.171806024933638,0.146886800415163,-0.162148492669585,-0.086532120835554,-0.128154183281465,-0.12641704748553,-0.0140821247671739,-0.00394175588936564,-0.0137384801549203,-0.0105472095142045,-0.00744562753353542,-0.00446116816073397,-0.00922036342483246,-0.0063524463125798,0.00352920720995767,0.00139627137390837,0.007097724673107,0.00434343566559231,-0.0026345042429567,0.000664751013707319,0.00163830231661945,0.00036070556252453,0.0163423415313511,-0.0756163718340313,0.0249192245184754,-0.00173713579593507,-0.0101403688778082,-0.00298445937280144,-0.00319127064071579,-0.00286791711225266,0.0021329358360493,-0.00329925525666402,0.00275428900751469,0.00127759675409492,0.0163423415313511,0.0756163718340313,0.0249192245184754,0.00173713579593507,0.0101403688778082,0.00298445937280144,0.00319127064071579,0.00286791711225266,0.0021329358360493,0.00329925525666402,0.00275428900751469,0.00127759675409492,0.0773621859571574,0.0105704341786856,0.00392867668933554,0.0249796995853775,0.00429058933773045,0.00303617545655552
"WxT_13.",0.184281239142215,0.151244404176352,0.196832341267018,0.123568254234959,-0.16199635963996,-0.0882479948274939,-0.109724233269323,-0.0937884162605496,-0.0109745384414734,-0.00714557667512302,-0.0128982456441548,-0.0141410738271609,-0.00448795744338641,0.00160829154083041,-0.00125689717893206,0.0111516221197766,0.000672364445098025,0.000849996792094915,0.0100503493783255,0.00590504635162509,-0.00263320409538389,-0.00152492707313489,0.000657736605186954,-0.00233868922871961,0.0330368349658627,-0.0737483648124663,0.0732640870320586,-0.0159358170087736,-0.00382896176635038,-0.00609624898421682,0.00124282818300611,-0.0124085192987086,-0.00017763234699689,-0.00110827702224899,0.00414530302670046,0.00299642583390656,0.0330368349658627,0.0737483648124663,0.0732640870320586,0.0159358170087736,0.00382896176635038,0.00609624898421682,0.00124282818300611,0.0124085192987086,0.00017763234699689,0.00110827702224899,0.00414530302670046,0.00299642583390656,0.0808099856272371,0.00719897214091967,0.00112242202791317,0.0749771746091981,0.0124706043590076,0.00511489051312681
"WxT_14.",0.183707618264585,0.155366698798723,0.178741232769849,0.170955327067939,-0.137610041525323,-0.0886556372781266,-0.114016088600641,-0.0951599621204811,-0.00558915735521024,-0.00760016806573877,-0.0152624811194653,-0.0133064934785491,-0.00785817844047302,-0.00433057542149535,-0.0131487646287594,-0.00497188255948973,0.00571005441309358,0.00312003809331927,0.00937607923365706,0.00761008295750305,0.00289225246563941,-0.000293857055402463,0.00267828579954912,0.00165432262613133,0.0283409194658618,-0.0489544042471964,0.00778590570190971,-0.0188561264801601,0.00201101071052852,-0.00352760301897768,-0.00195598764091623,-0.00817688206926963,0.00259001631977432,0.00318610952104187,0.00176599627615401,0.00102396317341779,0.0283409194658618,0.0489544042471964,0.00778590570190971,0.0188561264801601,0.00201101071052852,0.00352760301897768,0.00195598764091623,0.00817688206926963,0.00259001631977432,0.00318610952104187,0.00176599627615401,0.00102396317341779,0.0565662568265603,0.00406055995367152,0.004106029519715,0.0204003390519576,0.00840757325428451,0.00204138272450456
"WxT_15.",0.186051750133744,0.156562778218013,0.16866689149785,0.179537410252292,-0.144704636073249,-0.0838828150578382,-0.151553226993352,-0.0982308066690569,-0.00882776559619298,-0.00563407974965381,-0.0181773526903632,-0.00964502713727389,-0.00633362947512211,0.000846931596734523,-0.0200506714281797,-0.0062019555595475,-0.000289663071256102,0.00110663893077626,0.0107744221141335,0.00572926504833462,0.000961916926509691,-0.000823755294229018,0.00418699343205124,-0.00265110064398067,0.0294889719157313,-0.0608218210154104,-0.0108705187544414,-0.0533224203242955,-0.00319368584653917,-0.00718056107185663,-0.00853232555308929,-0.0138487158686322,-0.00139630200203236,0.00178567222073871,0.00504515706579885,0.00683809407603191,0.0294889719157313,0.0608218210154104,0.0108705187544414,0.0533224203242955,0.00319368584653917,0.00718056107185663,0.00853232555308929,0.0138487158686322,0.00139630200203236,0.00178567222073871,0.00504515706579885,0.00683809407603191,0.0675935897572943,0.00785875859109106,0.00226677845428209,0.0544191941067809,0.0162661461494112,0.00849783151228846
"WxT_16.",0.158801936017635,0.147062842253799,0.156852552837423,0.182138170266126,-0.125389396786204,-0.0847504510027406,-0.120441695464354,-0.112265200788357,-0.0150021404188012,-0.000833101747498863,-0.0129637983889622,-0.014973521269238,0.00149546907465159,-0.00292750820182537,-0.0132722496091537,-0.00892848333619266,0.00388445125665736,-0.000711555972730025,0.00701922474750159,0.00974152831129062,-0.00497731038133729,0.00179740405040953,0.00279792271191437,0.00171540346555788,0.0117390937638369,-0.0406389457834638,-0.0252856174287025,-0.0081764946759972,-0.0141690386713023,0.00442297727647696,0.00200972288027579,-0.00434376627296109,0.00459600722938738,-0.00677471443174682,-0.00272230356378904,0.00108251924635649,0.0117390937638369,0.0406389457834638,0.0252856174287025,0.0081764946759972,0.0141690386713023,0.00442297727647696,0.00200972288027579,0.00434376627296109,0.00459600722938738,0.00677471443174682,0.00272230356378904,0.00108251924635649,0.0423004756094712,0.0148433279576075,0.00818657670117979,0.0265747533184659,0.00478615623330646,0.00292963899007211
"WxT_17.",0.180884383423188,0.148592147305029,0.188277638474367,0.226475692805912,-0.147774030387361,-0.0831900183055242,-0.159340934589087,-0.139822388261532,-0.0157184972786603,-0.00659277835222953,-0.0308682003785536,-0.0229455763692796,-0.00768680801866376,-0.00656168397763042,-0.000649598072516922,0.00315050491017729,0.00354830473987188,0.00444769203735536,0.00634728126251924,0.0129509404129804,-0.00235991653703138,0.000226680071049516,-0.0105181924398901,-0.0106080506835292,0.0322922361181587,-0.0645840120818368,-0.0381980543315453,-0.0195185463275546,-0.00912571892643073,-0.00112512404103334,-0.00792262400927404,-0.00380010298269421,-0.000899387297483479,-0.0025865966080809,-0.00660365915046117,8.98582436390984e-05,0.0322922361181587,0.0645840120818368,0.0381980543315453,0.0195185463275546,0.00912571892643073,0.00112512404103334,0.00792262400927404,0.00380010298269421,0.000899387297483479,0.0025865966080809,0.00660365915046117,8.98582436390984e-05,0.0722072235312905,0.00919481647625047,0.00273849950224758,0.0428959788961224,0.00878685119206003,0.00660427048805691
"WxT_18.",0.156270166266813,0.145992815674469,0.107298771925662,0.157817191051498,-0.121190318229928,-0.086957045764137,-0.0860123400136979,-0.0834503264339563,-0.0122636579913411,-0.0104167858950634,-0.00993846348177668,-0.0156389650432854,0.00192017592447019,-0.00199362273726977,-0.00789913877129608,-0.00938377575263416,0.00291417861316007,0.00297040648343839,0.00460916316192075,0.00892246040015801,-0.00232055699930668,-0.0027782675657929,0.00169672016034523,-0.00025569345342878,0.0102773505923441,-0.0342332724657912,-0.0505184191258368,-0.00256201357974155,-0.00184687209627762,0.00391379866173996,0.00570050156150869,0.00148463698133808,-5.62278702783184e-05,0.000457710566486218,-0.00431329723823726,0.00195241361377401,0.0102773505923441,0.0342332724657912,0.0505184191258368,0.00256201357974155,0.00184687209627762,0.00391379866173996,0.00570050156150869,0.00148463698133808,5.62278702783184e-05,0.000457710566486218,0.00431329723823726,0.00195241361377401,0.035742703855683,0.00432767333617574,0.000461151315805528,0.0505833429555273,0.00589065913282374,0.00473460156556338
