"","varmax_gc_warp_PC1_oriSDLD","varmx_gc_warp_PC2_oriSDLD","varmx_gc_warp_PC3_oriSDLD","varmx_gc_warp_PC1_oriSDSD","varmx_gc_warp_PC2_oriSDSD","varmx_gc_warp_PC3_oriSDSD","varmx_gc_warp_PC1_oriLDLD","varmx_gc_warp_PC2_oriLDLD","varmx_gc_warp_PC3_oriLDLD","varmx_gc_warp_PC1_velSDLD","varmx_gc_warp_PC2_velSDLD","varmx_gc_warp_PC3_velSDLD","varmx_gc_warp_PC1_velSDSD","varmx_gc_warp_PC2_velSDSD","varmx_gc_warp_PC3_velSDSD","varmx_gc_warp_PC1_velLDLD","varmx_gc_warp_PC2_velLDLD","varmx_gc_warp_PC3_velLDLD","varmx_gc_warp_PC1_accSDLD","varmx_gc_warp_PC2_accSDLD","varmx_gc_warp_PC3_accSDLD","varmx_gc_warp_PC1_accSDSD","varmx_gc_warp_PC2_accSDSD","varmx_gc_warp_PC3_accSDSD","varmx_gc_warp_PC1_accLDLD","varmx_gc_warp_PC2_accLDLD","varmx_gc_warp_PC3_accLDLD","varmx_meandist_warp_PC1_oriSDLD","varmx_meandist_warp_PC2_oriSDLD","varmx_meandist_warp_PC3_oriSDLD","varmx_meandist_warp_PC1_oriSDSD","varmx_meandist_warp_PC2_oriSDSD","varmx_meandist_warp_PC3_oriSDSD","varmx_meandist_warp_PC1_oriLDLD","varmx_meandist_warp_PC2_oriLDLD","varmx_meandist_warp_PC3_oriLDLD","varmx_meandist_warp_PC1_velSDLD","varmx_meandist_warp_PC2_velSDLD","varmx_meandist_warp_PC3_velSDLD","varmx_meandist_warp_PC1_velSDSD","varmx_meandist_warp_PC2_velSDSD","varmx_meandist_warp_PC3_velSDSD","varmx_meandist_warp_PC1_velLDLD","varmx_meandist_warp_PC2_velLDLD","varmx_meandist_warp_PC3_velLDLD","varmx_meandist_warp_PC1_accSDLD","varmx_meandist_warp_PC2_accSDLD","varmx_meandist_warp_PC3_accSDLD","varmx_meandist_warp_PC1_accSDSD","varmx_meandist_warp_PC2_accSDSD","varmx_meandist_warp_PC3_accSDSD","varmx_meandist_warp_PC1_accLDLD","varmx_meandist_warp_PC2_accLDLD","varmx_meandist_warp_PC3_accLDLD","varmx_sedist_warp_PC1_oriSDLD","varmx_sedist_warp_PC2_oriSDLD","varmx_sedist_warp_PC3_oriSDLD","varmx_sedist_warp_PC1_oriSDSD","varmx_sedist_warp_PC2_oriSDSD","varmx_sedist_warp_PC3_oriSDSD","varmx_sedist_warp_PC1_oriLDLD","varmx_sedist_warp_PC2_oriLDLD","varmx_sedist_warp_PC3_oriLDLD","varmx_sedist_warp_PC1_velSDLD","varmx_sedist_warp_PC2_velSDLD","varmx_sedist_warp_PC3_velSDLD","varmx_sedist_warp_PC1_velSDSD","varmx_sedist_warp_PC2_velSDSD","varmx_sedist_warp_PC3_velSDSD","varmx_sedist_warp_PC1_velLDLD","varmx_sedist_warp_PC2_velLDLD","varmx_sedist_warp_PC3_velLDLD","varmx_sedist_warp_PC1_accSDLD","varmx_sedist_warp_PC2_accSDLD","varmx_sedist_warp_PC3_accSDLD","varmx_sedist_warp_PC1_accSDSD","varmx_sedist_warp_PC2_accSDSD","varmx_sedist_warp_PC3_accSDSD","varmx_sedist_warp_PC1_accLDLD","varmx_sedist_warp_PC2_accLDLD","varmx_sedist_warp_PC3_accLDLD","varmx_mean_eulid_ori_total123_SDLD","varmx_mean_eulid_ori_total123_SDSD","varmx_mean_eulid_ori_total123_LDLD","varmx_mean_eulid_vel_total123_SDLD","varmx_mean_eulid_vel_total123_SDSD","varmx_mean_eulid_vel_total123_LDLD","varmx_mean_eulid_acc_total123_SDLD","varmx_mean_eulid_acc_total123_SDSD","varmx_mean_eulid_acc_total123_LDLD","varmx_se_eulid_ori_total123_SDLD","varmx_se_eulid_ori_total123_SDSD","varmx_se_eulid_ori_total123_LDLD","varmx_se_eulid_vel_total123_SDLD","varmx_se_eulid_vel_total123_SDSD","varmx_se_eulid_vel_total123_LDLD","varmx_se_eulid_acc_total123_SDLD","varmx_se_eulid_acc_total123_SDSD","varmx_se_eulid_acc_total123_LDLD"
"WxT_1.",4.11438487656345,2.13277754753368,-3.1671204256898,4.11014770168875,2.10641114499544,-3.17912775716248,4.12437041528448,2.13361800852842,-3.19176745570594,4.24396668476818,0.851812430891293,-3.62307324656386,4.22136197524229,0.855093090662219,-3.61311056627336,4.23579867960297,0.853058438833503,-3.63322693083279,4.12935506386202,1.54798569203694,-3.54041466188921,4.12765413833221,1.53661010634867,-3.53595138233693,4.11202506429413,1.55823240110835,-3.53506889053129,0.0760927580463607,0.102891465492217,0.0709127862735921,0.0743568752621969,0.128560906634167,0.0631121768972018,0.0179515445987013,0.00613953416851554,0.0275073099743395,0.0337832886681348,0.069639107145929,0.0513992615375317,0.0468731216161726,0.0542464809419378,0.0722098696986464,0.0214993459213821,0.00240603663930405,0.0222037259280838,0.00740099156009273,0.022229981561731,0.0132054646799399,0.00813825588140542,0.0378088267346744,0.0224293183929277,0.0212741841219923,0.00682554428823101,0.0271988499014832,0.0111436883044722,0.0145277811740588,0.0105946528600447,0.0212022160858861,0.0307688182535999,0.012526786314254,0,2.22044604925031e-16,0,0.004545507032831,0.00869161392792368,0.00667985277813896,0.0127575433083671,0.0114766228857908,0.0170286528683262,4.44089209850063e-16,0,2.22044604925031e-16,0.00200143426944284,0.00418463521864078,0.00363057775724412,0.00393359100728782,0.00695034175193839,0.00847694563784129,0,0,0,0.170282211798631,0.169072517296941,0.0334156241197127,0.103363697631862,0.108735831777153,0.0310002634254354,0.0294539018322032,0.0476286514183875,0.0351988124920493,0.0161971341549104,0.0356418185286828,4.16333634234434e-17,0.00952867425527984,0.0205224527936056,4.66643839419699e-16,0.00558398616789797,0.010279837005492,0
"WxT_10.",4.1168621047731,2.13780993295813,-3.19482525108321,4.08588018808465,2.04604648023579,-3.1592072265587,4.14691068363886,2.14711095889431,-3.20011035885845,4.2449541543387,0.863654421020447,-3.65216844268942,4.22887692602064,0.848920211653065,-3.59329600235093,4.26774863885577,0.868882065012726,-3.65242190108237,4.12777834234123,1.56185712263715,-3.54547172834531,4.13200871999449,1.54836533694433,-3.53294719849222,4.13286887281557,1.56076008467346,-3.55980034961256,0.0809170001344037,0.117400165558228,0.1010052399182,0.076616259343642,0.124113191952802,0.118436973929538,0.049669064988376,0.054901978482237,0.0199275442424696,0.053448863140462,0.060938452343497,0.0943455855961313,0.0602196158323174,0.026997295162825,0.0957283773964317,0.0155620921445177,0.0225834516816059,0.0475811260715156,0.0022559330390012,0.00996857601507121,0.00875044976051441,0.0218974441512702,0.0343149193277507,0.048260198388711,0.0149280030732186,0.0291802969252437,0.0454553216077012,0.0112952567071235,0.0205646480067627,0.0182067377427414,0.0269323352984941,0.0421236077516554,0.0246693751783668,0.0157033559084659,0.0152589040971866,0.00590451661215968,0.00952409447275396,0.00986262295417505,0.016380219226147,0.017286522483925,0.00952823254956267,0.0279030436344067,0.00612707368480262,0.00497011924706373,0.0117087832675181,0.00132126041114804,0.00274207716207629,0.00389316470418685,0.00596098461024753,0.0125043792209465,0.0117523118189033,0.00564718729792563,0.0071518708365324,0.01183034854767,0.20271107507215,0.207370525313859,0.0813689900118689,0.136730011002724,0.132733913413142,0.0568012118748776,0.0150636011722054,0.0654507485259691,0.0575463762370355,0.021438246282518,0.0448126373144318,0.0181287697590111,0.0180925971399027,0.0241371763654341,0.0121154011597594,0.00475249923156258,0.0169550907101723,0.0134250173113774
"WxT_11.",4.12320934015602,2.13387575376782,-3.20603094997661,4.12659020023372,2.11908251119032,-3.18970122817691,4.11287635937029,2.1314889367864,-3.1907710770709,4.25221820061532,0.859487014373974,-3.62996767114952,4.24523114108025,0.857568467920795,-3.62891177099667,4.24319252165187,0.841257054548464,-3.62875671330575,4.13043780571462,1.546242972676,-3.53865302815596,4.1359826719699,1.55856706075553,-3.54888977495266,4.13231504637739,1.55254407327396,-3.53367207014154,0.0746472590432506,0.100871916120701,0.087364141137046,0.0448342845341413,0.0384761075366948,0.0739210507028463,0.0828756187804141,0.0563431246157543,0.0809561629580672,0.0411886512193822,0.0516363598866956,0.0468450409225592,0.0274423101516003,0.0274800511091417,0.0291767724226296,0.0385877674595162,0.0399544233579637,0.053633801039526,0.0125030859190883,0.0225638937225273,0.0215716442070125,0.0110133396217406,0.0105238573533181,0.0142880030227801,0.0169491888545733,0.0234646568864838,0.0426721236285406,0.0099958020969877,0.0112253599892376,0.0139482906469775,0.0119374941968401,0.00930824247465772,0.0194873841294604,0.0204945649115991,0.0112627831950464,0.0206775118429271,0.00823701746350956,0.00609042433505911,0.00785865742565154,0.00491518934106012,0.00617137119008029,0.00734631835865118,0.00596135855160449,0.0124672659083613,0.00941892218704597,0.00394240512842526,0.00400471374536025,0.00558477904211105,0.00221197359416188,0.00521332594589355,0.00326618511902285,0.00630474252916762,0.00929607715036091,0.0144127394598655,0.174635463282725,0.106239661755883,0.136035299336875,0.0917383253291466,0.0554445321609989,0.0815281633518622,0.0387100800541804,0.0237231092072265,0.0561572040904707,0.0149253416938274,0.0199224361245519,0.0243450134362937,0.010727125743211,0.00715902367916452,0.0119461122435514,0.00724960477318627,0.00558847435092262,0.0153271858261827
"WxT_12.",4.14074028978204,2.1225644808508,-3.18341721577106,4.13062731295058,2.13179919667575,-3.17882417583903,4.14354613189671,2.13888612311929,-3.18235512203754,4.2588796311916,0.853719421645094,-3.63202339525888,4.24383114114066,0.855042567135443,-3.62312581280156,4.2689442345524,0.86804763850283,-3.65494917058279,4.12698946124035,1.55614472129142,-3.54717983462051,4.13378450147119,1.54666653372159,-3.52640817123196,4.13031502910103,1.55887076365014,-3.54527265299007,0.0838248672086983,0.0617145604339674,0.0887815109025509,0.0657740208062597,0.0473871510281854,0.0664492002364661,0.0896229727191285,0.0665613930412454,0.117351846476453,0.0482702885351582,0.0445288617148229,0.0544841452527002,0.037897107555438,0.0392845323734032,0.0416775701044222,0.0358190417930135,0.0388506724504576,0.0430369864163203,0.00311345550152515,0.00795698134448855,0.0129580471398253,0.0112884069067014,0.0264862771144962,0.0237230107108253,0.022636694247729,0.0175896437294787,0.028335478526599,0.018996157247254,0.0111830010462733,0.0118074611202539,0.0189158846197235,0.0130540354671662,0.017264635836761,0.0183770020761214,0.0245653637907293,0.0181572716568802,0.00948213950971971,0.00708402547752121,0.00725250532919657,0.00774334355081077,0.0116101350040731,0.00874728366967991,0.010146510858179,0.00723114065594939,0.0112503804439375,0.000930635058959351,0.00268297888801864,0.0023566901403616,0.0042308436124388,0.00810386490545556,0.00473182127672704,0.00777060865218084,0.00543610643359967,0.0111838559672894,0.15752552746984,0.117004266188859,0.174445257289213,0.0993350309521592,0.0775808534075411,0.0736677107701139,0.0174520421720853,0.0395116625365367,0.0484107164145275,0.0209899242406279,0.0221007671509057,0.0291746166012889,0.0106923794118501,0.010415450574053,0.0142679727840285,0.00341898920264129,0.00920776262218002,0.0119634436319865
"WxT_13.",4.10410100067871,2.10351203753065,-3.20555347833009,4.10685031763882,2.13956765304951,-3.19243104208285,4.14968867908077,2.15930223119875,-3.18453255871592,4.25861687525055,0.86081072972007,-3.63687267175081,4.2514325499159,0.8607493063529,-3.63499662630634,4.25386018069818,0.859896168513437,-3.63872722382582,4.131435728935,1.55330489579625,-3.5408465012603,4.12891385479358,1.56502548613225,-3.53589440797247,4.12772266725359,1.55622271010689,-3.54120775357364,0.0738107489062238,0.13957262203905,0.0984548702166433,0.0906347882138087,0.0349297868627488,0.0772084305174848,0.0294259891722269,0.0271539899813891,0.0936332696806164,0.037193187544357,0.056057429471631,0.0721502335665451,0.0341596068405462,0.0442223267658626,0.053650104745804,0.00866179197655814,0.00261563726279964,0.0438437727489078,0.0081666816599603,0.0128547368496121,0.0155192386952242,0.0215432261726102,0.0283990229800438,0.0432355376366323,3.25665420556713e-15,3.62672854710884e-15,6.51330841113425e-15,0.00891188667699702,0.0379273625643554,0.0124302762626514,0.0217801469381386,0.0149160092368095,0.0296656987492826,0.0102353131951144,0.0130244161710365,0.0358220189427003,0.00552003218499209,0.0088401492646284,0.00879070195878895,0.0161592550420513,0.0100873707528165,0.0144781117194224,0.00286762706403416,0.000977614115547404,0.0191322561669437,0.00212594269459839,0.00385193780734944,0.00620094447937177,0.00884343619759425,0.0101897894995736,0.0121623286630496,5.9211894646675e-16,9.62193288008469e-16,1.62832710278356e-15,0.217451666832338,0.144827497673525,0.109826704077352,0.112218018140478,0.0926226393408467,0.045106453452815,0.0251175427559687,0.0617257170615215,8.14051399618361e-15,0.0362023356981606,0.0279266979450955,0.026680896359769,0.0102048748036627,0.0142894535690338,0.0189736257084976,0.00730010117756162,0.0153044603883825,1.97102952202259e-15
"WxT_14.",4.12758718084086,2.14935671919878,-3.20605957107855,4.13570630000219,2.04511095408968,-3.19936119014391,4.11905698346976,2.08131285957752,-3.23665824979164,4.25172366909013,0.854427227280998,-3.62439983409213,4.24853255561819,0.856909290153735,-3.63708636870297,4.27477782821193,0.867776054483214,-3.65225506608798,4.13162189440967,1.56203747983953,-3.54696386539208,4.12443576340372,1.55438359973787,-3.53568936816401,4.12560814015708,1.559068235765,-3.53573332033872,0.0689799604984059,0.0753609079712249,0.0999686592409227,0.0764301981728471,0.177469315067851,0.0511142153968961,0.13937300589208,0.156643902978309,0.0609858189947377,0.0442882006388788,0.0324407164724238,0.0420966901031565,0.0152260886593642,0.0173354570262782,0.0275852908414326,0.0534664168607447,0.0420634957719413,0.0610406101230007,0.00714840685916235,0.0141508472199659,0.0207572299647247,0.00570806260524974,0.0086577719821436,0.0171995538484103,0.0153328111846636,0.0388007016250498,0.0126332756273292,0.00991768835679485,0.0170185360775032,0.0215564767281217,0.0122805058245535,0.0807086910710813,0.0154198068062868,0.0259174780963913,0.0503196460903598,0.0199451365458316,0.0107972631961194,0.0075278855702862,0.00803796873529444,0.00364277895289962,0.00544997744240253,0.00667039127876109,0.0151538010204024,0.0126389050621959,0.0200196812888802,0.00222654190427484,0.00429545442366825,0.00626285736828405,0.00203117693863934,0.00360931306715853,0.00628485969043253,0.00727937569174148,0.0140851421679249,0.00423134546918819,0.160733833746899,0.216327175640068,0.239001685761543,0.0792330529630167,0.0398566546951773,0.108413474765855,0.027601029344501,0.0206155491533384,0.0465042455868333,0.025684005140699,0.0788523239195888,0.0474653977889549,0.0135859019614603,0.0076118940995665,0.0174505042906379,0.00773231247021464,0.00738163666881098,0.015224689134611
"WxT_15.",4.12722454988861,2.1477596259932,-3.19664115712678,4.11617589071314,2.13662809952684,-3.19509306634654,4.10422874273338,2.16687402990484,-3.24943722693542,4.25597196815001,0.858722947235589,-3.64389915587283,4.22973482146905,0.853489380155137,-3.63337489234638,4.27728313938411,0.865924582344546,-3.64321712821776,4.12378106965373,1.55136137181649,-3.53248359243018,4.12362424779454,1.5460175626673,-3.54341133980017,4.13114016393575,1.54619404243278,-3.54862376979078,0.10612368098697,0.0883655269240446,0.10641592219057,0.0504883292448694,0.0802090729919065,0.0536707756698023,0.123650658823429,0.0364206964222181,0.0303390521533122,0.0462176033560325,0.042207393613846,0.0601829581537629,0.0412167753607433,0.062292885291079,0.0374622737630819,0.00577504913910657,0.0288393945638883,0.0156171381691042,0.00945762962555865,0.0218569266196508,0.0286372248771725,0.00991583103087073,0.0242665269138709,0.011251150127777,0.0045566622428721,0.0133715568988177,0.00988802162284822,0.0127932674672152,0.0149062789859731,0.0138167454493545,0.0165807387279295,0.0253367333090527,0.0155638228778443,0.0517422944935652,0.0175301103574425,0.0148000188420161,0.00672635798058419,0.00725695450955071,0.00952531708347823,0.00541922571705661,0.0261423524401946,0.0162370699126502,0.00249155916834376,0.00838575649778085,0.00412403131043314,0.00212813826366434,0.00496595632530232,0.00624320787704058,0.00454560824286899,0.0108053046864491,0.00496302593104699,0.00113916556071825,0.00334288922470442,0.00247200540571206,0.198413800118063,0.128316586897557,0.132763575643258,0.0991453221436202,0.0897669056262799,0.0342443725307885,0.0395664743851979,0.029562749078082,0.0172433951502553,0.0178996168761345,0.0241629901424835,0.056202599388195,0.0110996622780491,0.0290172686547006,0.00785342768139889,0.00794195662817439,0.0124308617968225,0.00431084878756389
"WxT_16.",4.13301158849577,2.14059135978008,-3.19778091053985,4.13462429801352,2.14590301265484,-3.19843342989709,4.15466202757688,2.19126598474903,-3.20228177098883,4.25002584794534,0.851387531079168,-3.64106005525808,4.25171805674765,0.870682416202134,-3.64462415769519,4.25951065691596,0.885952592021579,-3.6692769467821,4.12976567363833,1.55600276475674,-3.54386739201608,4.12100236048573,1.55476225780815,-3.54357808546329,4.12492710055904,1.5539204184395,-3.53677460954347,0.0822321994336465,0.0643003002824284,0.0755436727711461,0.0447734450823918,0.0403459036144544,0.0281509549780115,0.0862672621303445,0.102393069151392,0.0735766660026471,0.0432698986139916,0.0410040355082923,0.0585126590333352,0.0187228256307042,0.0228495169115871,0.0273239181178902,0.0458444360628744,0.0571484025457242,0.0942636809757848,0.0100453940105492,0.0165674468217982,0.0185757665426601,0.0286243802998663,0.0275053738603068,0.0231561659981428,0.018692140569827,0.027996733122994,0.032935460839001,0.00895851827041453,0.00943761258642742,0.0104463009635208,0.00735658880043145,0.0127679796682303,0.00643574309277522,0.0209317927156776,0.0408869099733435,0.0239505843465466,0.0059149511378675,0.00596732229785824,0.00870369559010111,0.00410883095947104,0.00742241795314213,0.00701308039946225,0.01140837506757,0.0233762434635328,0.0352810058320417,0.00309649403332553,0.00389521370347801,0.0042702298971377,0.00727144792033743,0.00681699884962586,0.00721031166492987,0.00539702791909792,0.00775523289498879,0.00772294693360842,0.142786432537669,0.0748036856057365,0.174730056099098,0.0937091936378071,0.0444420424514867,0.127705998531178,0.0294210125705271,0.0522021384173416,0.0525834313549554,0.0134689072371963,0.0105937136484945,0.0422454038230639,0.0100045879493816,0.00875650187900205,0.0407971582084226,0.00626690670694325,0.00864376716897864,0.00897401922143411
"WxT_17.",4.11199009298722,2.15401511891098,-3.19919667060171,4.05089012740132,2.13018602927508,-3.15391694656052,4.11462409811833,2.13551150192982,-3.19217494342262,4.24916269358236,0.862234784540795,-3.63561938736294,4.22057161744994,0.847838200918466,-3.59395666054399,4.26220400434384,0.856399498501271,-3.62691900603282,4.12576404820964,1.55898132164432,-3.5429559946989,4.13064029075597,1.53069099622281,-3.50596076017874,4.12359172524389,1.55742541874179,-3.53416056814492,0.0731817172099744,0.0931579204642725,0.0869685880320172,0.0780840158936551,0.121784470453053,0.0978740612453928,0.0895504300469269,0.0662476369153785,0.080824899787729,0.0273935309014861,0.0482820887532784,0.0584008302792606,0.0552349441139526,0.0549638832309553,0.112019904252263,0.0552450403775047,0.0450647343223998,0.0481375392224839,0.010815987717218,0.0253942562177273,0.0192183732406306,0.0137880187717516,0.0492356251505048,0.0601419835688905,0.0193461406734192,0.0461612481006234,0.0385951620054775,0.0158052125610793,0.00904744679803263,0.0113116829431187,0.0217095335094607,0.0289698729105454,0.0272115056784844,0.0235709880710819,0.0207678450115179,0.0184562377453959,0.0042748365163472,0.00709240352604719,0.0069650703738629,0.00620575148716603,0.0162588905734597,0.019606413488174,0.0182671997560156,0.0125774501685057,0.0122330665769129,0.00331756863540525,0.00529943203959239,0.0046646976738571,0.00427821481653434,0.00890988742329928,0.0106741331400705,0.00660266337251734,0.012681545350181,0.00927976709518441,0.166242080014657,0.204739937807221,0.146548377339914,0.0925799374120459,0.14322977593677,0.0961144505863934,0.038021905154506,0.0800952793559474,0.0711879942685684,0.0170841182972694,0.0279854551894549,0.0317893202535632,0.0077034770786062,0.0218354621392495,0.0202926276547462,0.00721903674114082,0.0138270976545764,0.0125061817453067
"WxT_18.",4.11851240845935,2.13810724672339,-3.18945393707841,4.11771652672735,2.13336338933669,-3.19573257067449,4.13744212269021,2.1395677201473,-3.20050333114855,4.240581310428,0.859750053060959,-3.63832254363054,4.25741204712993,0.858379379588187,-3.63495063394752,4.25326169647311,0.860743088227515,-3.63568259962878,4.12981787690709,1.56413264127967,-3.53657738425286,4.12590949973848,1.55471783333264,-3.54308745907253,4.13113896908601,1.5616312308886,-3.55197174407183,0.0666291985109879,0.0697276974086863,0.0608328758246882,0.0593686765647824,0.044406497919224,0.0431153315702737,0.0129142308449562,0.0473736519665098,0.0586141822353718,0.0306980563074562,0.030531942604363,0.0317381951848699,0.019605352634404,0.0173419132858039,0.0183080034669778,0.0237419110577829,0.0195899949115098,0.036992049897476,0.0110897147956609,0.0173767811450263,0.0182606809250724,0.00634718386091934,0.00918525128206669,0.0130873394080017,0.00569383638737235,0.0090142013028323,0.0179399841636538,0.010159351131564,0.00776891204598907,0.00947073012211479,0.0133764228582285,0.0110287524007201,0.010835969225541,0.00198621143206523,0.0163561001986993,0.0154710307755741,0.00584955134889556,0.00476619122180601,0.0045270296561689,0.00519614466132085,0.00480050854774515,0.00438445448739967,0.00592584193126862,0.00771916799825158,0.0133192145272478,0.00271492189166897,0.00368083517154259,0.00453588118413492,0.00223457666140529,0.00392090170318323,0.00513046241092254,0.00227753455494876,0.0036056805211329,0.00717599366546155,0.12950795161038,0.096868303459875,0.0848706476510993,0.0612732158767698,0.0369918263652649,0.0550801817543263,0.0313287891030716,0.019059540775643,0.0208690831069862,0.0106594348393771,0.0146691628468635,0.0154773059637183,0.00671655656326091,0.00587011081279478,0.0113361787110887,0.00576457905490194,0.00632101588351883,0.00834763324279446
