,FT_mean,FT_se,leaves_mean,leaves_se,weights_mean,weights_se
TNZ_1_C,39.69231,0.24132408,19.692308,0.52231428,0.031902564,0.002305382
WS_2_C,24.325,0.19737865,14.975,0.34247871,0.0115125,0.000510219
WT_10_C_L3_results,27.175,0.325984702,17.05,0.485626743,0.012155,0.000536524
WT_11_C,27.7,0.266024869,19.9,0.469314831,0.0176125,0.000638931
WT_12_C,25.5,0.299572345,16.575,0.575,0.01217,0.0006385
WT_13_C,25.92307692,0.516116265,15.12820513,0.697188771,0.0147675,0.001358234
WT_14_C,23.225,0.213299777,10.325,0.233115741,0.0055275,0.000359683
WT_15_C,31.05263158,0.556798623,21.05263158,0.82798438,0.034825,0.002789651
WT_16_C,27.33333333,0.536562424,16.48717949,0.7660754,0.019297436,0.002014427
WT_17_C,28.86842105,0.428652081,16.26315789,0.520810467,0.013528947,0.000681089
WT_18_C,22.16666667,0.309889893,11.77777778,0.270540644,0.005598889,0.000309718
WT_19_C,24.575,0.239891803,15.625,0.636182021,0.0101675,0.00110165
WT_1_C,28.3,0.334357401,18.1,0.528422908,0.016267,0.000600516
WT_21_C,20.32,0.181692721,9.46,0.128444382,0.002184,0.000132738
WT_22_C,26.81578947,0.180308189,17.92105263,0.50934591,0.0221875,0.00298
WT_23_C_L3_results,25.975,0.334908139,16.425,0.666878973,0.0121925,0.000874206
WT_24_C,19.3,0.068478212,9.166666667,0.079428277,0.002433333,0.0000951
WT_25_C,31.02631579,0.248714596,23.92105263,0.741362379,0.025961538,0.001102314
WT_26_C,31.97368421,0.368548037,23.46153846,0.743706073,0.028228205,0.000797846
WT_27_C,26.25,0.21408721,14.875,0.502796666,0.0136625,0.000835247
WT_28_C,30.33333333,0.310268121,23.41025641,0.719609608,0.024007692,0.00092953
WT_29_C,27.225,0.26186584,16.7,0.593986964,0.0168175,0.000966993
WT_2_C,31.65789,0.51475569,26.210526,1.03368438,0.035371795,0.002136445
WT_30_C,29.2,0.286893172,15.2,0.334357401,0.01917,0.001252071
WT_34_C,25.31578947,0.38110654,10.60526316,0.334246086,0.005376316,0.000529022
WT_35_C,37.15384615,0.42292354,25.48717949,0.723494103,0.0415725,0.002638436
WT_36_C,36.97435897,0.341638466,23.66666667,0.663623283,0.030146154,0.001479828
WT_38_C,34,0.277350098,15.6,0.185361739,0.0151025,0.000617921
WT_39_C,33.175,0.364950822,16.025,0.302738569,0.019915,0.001032526
WT_40_C_L3_results,32.375,0.355699924,18.225,0.332988604,0.0252075,0.001031599
WT_41_C,33.68888889,0.423814118,16.6,0.49989898,0.021178723,0.001398813
WT_42_C,30.71794872,0.291463611,17.28205128,0.620117874,0.018171795,0.001083578
WT_44_C,34.7,0.27080128,25.3,0.44606542,0.0551875,0.002093381
WT_45_C,27.8,0.293519754,14.65,0.388207584,0.0165025,0.001085555
WT_46_C,25.74358974,0.353730741,13.28205128,0.34451303,0.007741026,0.00052237
WT_47_C_L3_results,32.82926829,0.522543544,17.85365854,0.704134978,0.019346667,0.001406815
WT_48_C,26.2,0.20317985,15.575,0.279393804,0.013935897,0.000666972
WT_49_C,30.76923077,0.335609379,18.28205128,0.449844354,0.0174375,0.000811991
WT_50_C,30.39473684,0.565156449,17.92105263,0.539191718,0.016885,0.000991907
WT_51_C,33.5,0.494277351,19.60526316,0.975911489,0.025389211,0.002204745
WT_52_C,32.825,0.242549228,26.025,0.651907949,0.0406925,0.001193333
WT_55_C,26.51351351,0.264579733,13.21621622,0.254494539,0.008978378,0.000484646
WT_56_C,19.46,0.134649962,9.86,0.110693546,0.003562,0.000136034
WT_57_C,21.95,0.229128785,12.075,0.285071966,0.007384615,0.001476668
WT_58_C,28.35,0.28989388,15.975,0.302738569,0.0167025,0.002226051
WT_59_C,33.125,0.318625856,24.75,1.002400964,0.0309275,0.001996808
WT_5_C,27.775,0.313146767,21.525,0.644490954,0.019835,0.001014792
WT_61_C,39.575,0.320031048,24.35,0.264453961,0.047005,0.001461576
WT_62_C,29.63265306,0.477106747,23.46938776,0.944056795,0.024218367,0.001304439
WT_63_C,21.225,0.210273022,9.925,0.176822017,0.0031625,0.000159875
WT_64_C,34.31578947,0.533521092,24.94736842,0.971827456,0.032125,0.001702945
WT_65_C,30.525,0.366877853,19.3,0.564096737,0.0237775,0.001226134
WT_66_C,34.05,0.380536059,25.675,1.024937459,0.04466,0.002984399
WT_68_C,40.65,0.313274681,27,0.377236918,0.093625,0.003205042
WT_69_C,27.975,0.204084887,20.75,0.482714015,0.0214275,0.003415566
WT_71_C,29.05,0.159927868,19.55,0.55,0.02375,0.00079641
WT_73_C,24.45,0.265421774,10.9,0.174679193,0.0163575,0.001435551
WT_74_C,28.45,0.28408648,17.9,0.706925449,0.014635,0.000887091
WT_76_C,21.63157895,0.254185595,9.710526316,0.213045033,0.002823684,0.000205834
WT_77_C,21.35897436,0.218839965,10.25641026,0.150204309,0.003658974,0.000134912
WT_78_C,35.475,0.229233673,29.525,0.843517893,0.0460225,0.001222128
WT_9_C,38.75,0.348850423,25.79545455,0.790789704,0.044270455,0.002370138
